Table 1,,,,,,,,,,
,COLIFORM COUNTS FOR MYSTIC RIVER BASIN,,,,,,,,,
Date,,,Coliforms per,100 ml,Remarks,,,,,
Station 0,,"Aberjona River,  Shore and  Skillings Rd.,  Winchester",,,,,,,,
,2/20/1970,80,36Á F.,,,,,,,
,3/27/1970,64,,,,,,,,
,4/4/1970,880,44Á F.,pH=6.2,,,,,,
,4/8/1970,460,45Á F.,pH=6.4,,,,,,
,4/18/1970,20,52Á F.,,,,,,,
Station 9,,,,,,,,,,
,2/13/1970,30,,,,,,,,
,2/20/1970,10,37Á F.,,,,,,,
,3/27/1970,60,,,,,,,,
,4/4/1970,480,45Á F.,pH=6.2,,,,,,
,4/8/1970,285,47Á F.,pH=6.2,,,,,,
,4/18/1970,165,52Á F.,,,,,,,
Station 8,,,"High Street,  Medford",,,,,,,
,1/27/1970,"1,250",,,,,,,,
,2/13/1970,810,,,,,,,,
,2/20/1970,"2,100",,,,,,,,
,3/27/1970,"1,100",,,,,,,,
,4/4/1970,"1,600",44Á F.,pH=6.2,,,,,,
,4/8/1970,"1,000",46Á F.,,,,,,,
,4/18/1970,"1,000",52Á F.,,,,,,,
Station 7,,7,"Harvard Avenue, Medford",,,,,,,
,1/27/1970,"4,900",,,,,,,,
,2/13/1970,650,,,,,,,,
,2/20/1970,"3,100",,,,,,,,
,3/27/1970,"1,200",,,,,,,,
,4/1/1970,"7,300",44Á F.,pH=6.2,,,,,,
,4/8/1970,"1,700",50Á F.,,,,,,,
,4/18/1970,"1,650",50Á F.,,,,,,,
Station 13,,,,,"Alewife Brook near Little Pond,  Belmont",,,,,
,3/7/1970,332,,,,,,,,
,4/4/1970,"7,000",45Á F.,pH=6.4,,,,,,
,4/8/1970,200,48Á F.,,,,,,,
,4/18/1970,70,54Á F.,,,,,,,
,11/13/1970,"4,700",50Á F.,,,,,,,
,,,,,,,,,,
20,,,,,,,,,,
,,,,,,,,,,
Date,,Coliforms per,100 ml,Remarks,,,,,,
Station 6A,,A-E   Alewife Brook,,,,,,,,
,2/28/1970,"55,660",,,A.,Near entrance  to  the,,,Mystic River,
,11/13/1970,"101,000",,,,,,,,
Station 6B,,,,,B.,200 yards downstream from Broadway,,,,
,2/28/1970,"80,000",,,,,,,,
Station 6C,,,,,C.,Across  from Murray Hill,Rd.,,,
,2/28/1970,"166,500",,,,,,,,
Station 6D,,,,,D.,Just below Mass.  Ave.,,,,
,3/2/1970,"1,190,000",,,,,,,,
Station 6E,,,,,E.,Just above Mass.  Ave.,,,,
,3/2/1970,"22,000",,,,,,,,
Station 6,,,,,,"Henderson Street,  Alewife Brook,",,Arlington Side,,Sewage-Mass.  Ave.
,2/13/1970,"21,500",,,,,,,,
,2/20/1970,"49,000",,,,,,,,
,2/28/1970,"100,500",,,,,,,,
,3/27/1970,"17,000",,,,,,,,
,4/4/1970,"79,666",48Á F.,pH=6.2,,,,,,
,4/8/1970,"103,500",48Á F.,pH=6.4,,,,,,
,4/18/1970,"263,333",,,,,,,,
,11/13/1970,"660,000",,,,,,,,
Station 5.,,,,,,"Boston Avenue,  Medford",,,,
,1/27/1970,"86,500",,,,,,,,
,2/13/1970,"25,500",,,,,,,,
,2/20/1970,"9,950",,,,,,,,
,3/27/1970,"25,500",,,,,,,,
,4/4/1970,"46,000",46Á F.,pH=.6.4,,,,,,
,4/8/1970,"37,000",47Á F.,,,,,,,
,4/18/1970,"135,000",52Á F.,,,,,,,
,11/13/1970,"26,500",52Á F.,,,,,,,
Station 4,,,,,,4,"Auburn Street,  Medford",,,
,1/27/1970,"91,000",,,,,,,,
,2/13/1970,"6,500",,,,,,,,
,3/27/1970,"4,000",,,,,,,,
,4/4/1970,"13,650",43Á F.,pH=6.2,,,,,,
,4/8/1970,"23,000",,,,,,,,
,4/18/1970,"95,000",,,,,,,,
Station 3,,,,,,,Brook entering Mystic downstream,,"of Winthrop  St., Medford",
,1/27/1970,"83,000",,,,,,,,
,2/13/1970,440,,,,,,,,
,2/20/1970,20,,,,,,,,
,3/27/1970,380,,,,,,,,
,4/4/1970,460,44Á F.,pH=6.2,,,,,,
,4/8/1970,150,44Á F.,,,,,,,
,4/18/1970,240,48Á F.,,,,,,,
,,,,,,,,,,
21,,,,,,,,,,
,,,,,,,,,,
Date,,Coliforms per,100 ml,Remarks,,,,,,
Station 2,,,,,,2,,"200 Yards downstream from Winthrop Street, Medford",,
,2/13/1970,"5,000",,,,,,,,
,2/20/1970,"45,000",36Á F.,,,,,,,
,3/27/1970,"360,000",,,,,,,,
,4/4/1970,"130,000",46Á F.,pH=6.2,,,,,,
,4/8/1970,"250,000",46Á F.,pH=6.2,,,,,,
,4/18/1970,"87,000",52Á F.,,,,,,,
Station 1,,,,,,1,"Medford Square,  Municipal Parking Lot",,,
,1/27/1970,"75,500",,,,,,,,
,2/13/1970,"6,350",,,,,,,,
,2/20/1970,"8,850",,,,,,,,
,3/27/1970,"34,000",,,,,,,,
,4/4/1970,"15,000",43Á F.,pH=6.2,,,,,,
,4/8/1970,"31,000",46Á F.,pH=6.2,,,,,,
,4/18/1970,"112,000",51Á F.,,,,,,,
Station 11,,,,,,11,"Hormel  Stadium,  Medford",,,
,2/13/1970,"10,500",,,,,,,,
,2/20/1970,"21,000",34Á F.,,,,,,,
,4/4/1970,"8,000",,pH=6.2,,,,,,
,4/8/1970,"21,500",,,,,,,,
,4/18/1970,"98,000",,,,,,,,
Station 12,,,,,,12,"Shore Road,  Melville Road,  Somerville",,,
,2/13/1970,"20,000",,,,,,,,
,3/27/1970,"51,000",,,,,,,,
,4/4/1970,"36,000",47Á F.,pH=6.4,,,,,,
,4/8/1970,"23,000",46Á F.,pH=6.2,,,,,,
,4/18/1970,"9,450",54Á F.,pH=6.2,,,,,,
