"Station","Datetime","Fcoli","Temp C","Ph"
"Station 0","1970-02-20 12:00:00","80","2.2222",""
"Station 0","1970-03-27 12:00:00","64","",""
"Station 0","1970-04-04 12:00:00","880","6.6667","6.2"
"Station 0","1970-04-08 12:00:00","460","7.2222","6.4"
"Station 0","1970-04-18 12:00:00","20","11.1111",""
"Station 9","1970-02-13 12:00:00","30","",""
"Station 9","1970-02-20 12:00:00","10","2.7778",""
"Station 9","1970-03-27 12:00:00","60","",""
"Station 9","1970-04-04 12:00:00","480","7.2222","6.2"
"Station 9","1970-04-08 12:00:00","285","8.3333","6.2"
"Station 9","1970-04-18 12:00:00","165","11.1111",""
"Station 8","1970-01-27 12:00:00","1,250","",""
"Station 8","1970-02-13 12:00:00","810","",""
"Station 8","1970-02-20 12:00:00","2,100","",""
"Station 8","1970-03-27 12:00:00","1,100","",""
"Station 8","1970-04-04 12:00:00","1,600","6.6667","6.2"
"Station 8","1970-04-08 12:00:00","1,000","7.7778",""
"Station 8","1970-04-18 12:00:00","1,000","11.1111",""
"Station 7","1970-01-27 12:00:00","4,900","",""
"Station 7","1970-02-13 12:00:00","650","",""
"Station 7","1970-02-20 12:00:00","3,100","",""
"Station 7","1970-03-27 12:00:00","1,200","",""
"Station 7","1970-04-01 12:00:00","7,300","6.6667","6.2"
"Station 7","1970-04-08 12:00:00","1,700","10",""
"Station 7","1970-04-18 12:00:00","1,650","10",""
"Station 13","1970-03-07 12:00:00","332","",""
"Station 13","1970-04-04 12:00:00","7,000","7.2222","6.4"
"Station 13","1970-04-08 12:00:00","200","8.8889",""
"Station 13","1970-04-18 12:00:00","70","12.2222",""
"Station 13","1970-11-13 12:00:00","4,700","10",""
"Station 6A","1970-02-28 12:00:00","55,660","",""
"Station 6A","1970-11-13 12:00:00","101,000","",""
"Station 6B","1970-02-28 12:00:00","80,000","",""
"Station 6C","1970-02-28 12:00:00","166,500","",""
"Station 6D","1970-03-02 12:00:00","1,190,000","",""
"Station 6E","1970-03-02 12:00:00","22,000","",""
"Station 6","1970-02-13 12:00:00","21,500","",""
"Station 6","1970-02-20 12:00:00","49,000","",""
"Station 6","1970-02-28 12:00:00","100,500","",""
"Station 6","1970-03-27 12:00:00","17,000","",""
"Station 6","1970-04-04 12:00:00","79,666","8.8889","6.2"
"Station 6","1970-04-08 12:00:00","103,500","8.8889","6.4"
"Station 6","1970-04-18 12:00:00","263,333","",""
"Station 6","1970-11-13 12:00:00","660,000","",""
"Station 5.","1970-01-27 12:00:00","86,500","",""
"Station 5.","1970-02-13 12:00:00","25,500","",""
"Station 5.","1970-02-20 12:00:00","9,950","",""
"Station 5.","1970-03-27 12:00:00","25,500","",""
"Station 5.","1970-04-04 12:00:00","46,000","7.7778","6.4"
"Station 5.","1970-04-08 12:00:00","37,000","8.3333",""
"Station 5.","1970-04-18 12:00:00","135,000","11.1111",""
"Station 5.","1970-11-13 12:00:00","26,500","11.1111",""
"Station 4","1970-01-27 12:00:00","91,000","",""
"Station 4","1970-02-13 12:00:00","6,500","",""
"Station 4","1970-03-27 12:00:00","4,000","",""
"Station 4","1970-04-04 12:00:00","13,650","6.1111","6.2"
"Station 4","1970-04-08 12:00:00","23,000","",""
"Station 4","1970-04-18 12:00:00","95,000","",""
"Station 3","1970-01-27 12:00:00","83,000","",""
"Station 3","1970-02-13 12:00:00","440","",""
"Station 3","1970-02-20 12:00:00","20","",""
"Station 3","1970-03-27 12:00:00","380","",""
"Station 3","1970-04-04 12:00:00","460","6.6667","6.2"
"Station 3","1970-04-08 12:00:00","150","6.6667",""
"Station 3","1970-04-18 12:00:00","240","8.8889",""
"Station 2","1970-02-13 12:00:00","5,000","",""
"Station 2","1970-02-20 12:00:00","45,000","2.2222",""
"Station 2","1970-03-27 12:00:00","360,000","",""
"Station 2","1970-04-04 12:00:00","130,000","7.7778","6.2"
"Station 2","1970-04-08 12:00:00","250,000","7.7778","6.2"
"Station 2","1970-04-18 12:00:00","87,000","11.1111",""
"Station 1","1970-01-27 12:00:00","75,500","",""
"Station 1","1970-02-13 12:00:00","6,350","",""
"Station 1","1970-02-20 12:00:00","8,850","",""
"Station 1","1970-03-27 12:00:00","34,000","",""
"Station 1","1970-04-04 12:00:00","15,000","6.1111","6.2"
"Station 1","1970-04-08 12:00:00","31,000","7.7778","6.2"
"Station 1","1970-04-18 12:00:00","112,000","10.5556",""
"Station 11","1970-02-13 12:00:00","10,500","",""
"Station 11","1970-02-20 12:00:00","21,000","1.1111",""
"Station 11","1970-04-04 12:00:00","8,000","","6.2"
"Station 11","1970-04-08 12:00:00","21,500","",""
"Station 11","1970-04-18 12:00:00","98,000","",""
"Station 12","1970-02-13 12:00:00","20,000","",""
"Station 12","1970-03-27 12:00:00","51,000","",""
"Station 12","1970-04-04 12:00:00","36,000","8.3333","6.4"
"Station 12","1970-04-08 12:00:00","23,000","7.7778","6.2"
"Station 12","1970-04-18 12:00:00","9,450","12.2222","6.2"
