Total Coliform Counts,,per 100ml,,,5-Sep-1972,,
,"1967, summer","1970, winter spring","1971, spring","1972, spring","1972, sept","1972, oct","1972, Nov"
1,,,,,21000,5000,1600
2,,,,,6000,4000,12500
3,,,,313,2400,2000,2100
4,,,,,2300,600,1000
5,,,,4400,94000,13000,18000
6,,,,820,2000,1000,2500
7,,,,5300,61000,184000,65000
8,,,,13000,83000,65000,58000
9,,,,,36000,2000,3600
10,,,,,16000,5000,4500
,,,,,,,
BOD,,mg/l,,,,,
,"1967, summer","1970, winter spring","1971, spring","1972, spring","1972, sept","1972, oct","1972, Nov"
1,,,,,0.4,8.4,5.9
2,,,,,4.6,4.8,6.3
3,,,,,5.8,3.8,3.2
4,,,,,5.4,6.4,2.7
5,,,,,5.6,4,6.8
6,,,,,4.6,2.6,3.2
7,,,,,3.4,8,6.1
8,,,,,2,5.2,7
9,,,,,3.4,5,5.2
10,,,,,4.2,5.6,4.1
,,,,,,,
Nitrogen,Total,mg/l,,,,,
,"1967, summer","1970, winter spring","1971, spring","1972, spring","1972, sept","1972, oct","1972, Nov"
1,,,,,6.25,82,15.4
2,,,,,5.1,19.4,3.65
3,,,,,1.75,15.4,10.7
4,,,,,1.85,2.1,10
5,,,,,1.25,1.74,3.08
6,,,,,1.3,30.4,4.15
7,,,,,1.25,2.5,2.28
8,,,,,1.1,7.2,4.37
9,,,,,1.1,2.29,4.14
10,,,,,2.3,,4.26
,,,,,,,
Nitrogen,Amonia,mg/l,,,,,
,"1967, summer","1970, winter spring","1971, spring","1972, spring","1972, sept","1972, oct","1972, Nov"
1,,,,,5,76.4,11.45
2,,,,,2.5,18.7,1.7
3,,,,,0.96,14,4.14
4,,,,,1.72,1.02,4.26
5,,,,,0.5,0.37,0.77
6,,,,,0.5,10.5,2.78
7,,,,,0.6,1.14,0.66
8,,,,,0.7,4.94,2.62
9,,,,,0.43,0.97,1.35
10,,,,,0.6,13.3,1.84
,,,,,,,
Phosphate,,mg/l,,,,,
,"1967, summer","1970, winter spring","1971, spring","1972, spring","1972, sept","1972, oct","1972, Nov"
1,,,,,10.5,6.6,5.9
2,,,,,7.7,5.5,4.8
3,,,,,5.1,3.4,9.5
4,,,,,4.4,5.3,9.2
5,,,,,7.9,4.2,8.1
6,,,,,4.6,2.8,5
7,,,,,5.4,5,7.1
8,,,,,6.4,4.6,5.9
9,,,,,8,8.1,9
10,,,,,6.2,5.3,5.7
,,,,,,,
Dissolved Oxygen,,mg/l,,,,,
,"1967, summer","1970, winter spring","1971, spring","1972, spring","1972, sept","1972, oct","1972, Nov"
1,,,,,5.8,10,8.6
2,,,,,8.2,11,9.8
3,,,,,9,10.2,9.8
4,,,,,8.2,9.6,9.2
5,,,,,8.8,11.6,10.8
6,,,,,8,10,8.2
7,,,,,7.8,8.4,8.2
8,,,,,7.4,9.6,9.6
9,,,,,7.4,9.4,9.2
10,,,,,12,9.8,8.4
