,,DWPC - MAPC,208 MONITORING PROGRAM,,
,,,ABERJONA RIVER BASIN,,
,,,TIME - TEMPERATURE - DISSOLVED OXYGEN,,
STATION,,21-Mar,2-May,5-Jul,6-Sep
17,*,1415,1350,1315,1330
,**,46,61,81,73
,***,9.7,7.6,10.4,4.2
18,,1435,1400,1330,1345
,,45,58,75,70
,,10.4,9.9,5.2,4.9
19,,1500,1415,1345,1400
,,42,59,75,67
,,11.5,8.9,6.1,7.5
20,,1445,1405,1340,1355
,,42,59,79,73
,,11.7,11,8.9,4.4
21,,1430,1425,1320,1335
,,46,57,73,69
,,11,11.7,2.4,1.3
22,,1400,1335,1300,1315
,,47,60,77,66
,,7.7,8,4,5.3
,,,,,
*   Time,,,,,
**   Temperature,,,,,
***   Dissolved Oxygen,,,,,
