TABLE NUMBER,TABLE NAME,,Characteristic ID's,Sub for zero
1,"time, temp, oxy",,,
2,CHEMICAL OXYGEN DEMAND DATA,,COD,
3,FIVE-DAY BIOCHEMICAL OXYGEN DEMAND,,BOD5,
4,pH DATA,,PH,
5,SUSPENDED SOLIDS DATA,,TSS,<0.5
6,DISSOLVED SOLIDS DATA,,,
7,TOTAL SOLIDS DATA,,TS,
8,TURBIDITY DATA,,TKN,
9,TOTAL ALKALINITY DATA,,ALK,
10,HARDNESS DATA,,,
11,TOTAL KJELDAHL-NITROGEN DATA,,TKN,
12,AMMONIA-NITROGEN DATA      ,,NH3,<.01
13,NITRATE-NITROGEN DATA  ,,NO3,<.01
14,TOTAL PHOSPHORUS DATA  ,,TP,
15,TOTAL COLIFORM BACTERIA DATA,,TCOLI,
16,FECAL COLIFORM BACTERIA DATA,,FCOLI,
17,CADMIUM DATA,,CADMIUM,<.01
18,IRON DATA,,IRON,
19,LEAD DATA,,LEAD,<.01
20,MANGANESE DATA,,MANGANESE,
21,ZINC DATA,,ZINC,<.01
