"OrigStationName","Date","Surveytime","TEMP_WATER","DO"
"17","3/21/1977","1977-03-21 14:15:00","46","9.7"
"17","5/2/1977","1977-05-02 13:50:00","61","7.6"
"17","7/5/1977","1977-07-05 13:15:00","81","10.4"
"17","9/6/1977","1977-09-06 13:30:00","73","4.2"
"18","3/21/1977","1977-03-21 14:35:00","45","10.4"
"18","5/2/1977","1977-05-02 14:00:00","58","9.9"
"18","7/5/1977","1977-07-05 13:30:00","75","5.2"
"18","9/6/1977","1977-09-06 13:45:00","70","4.9"
"19","3/21/1977","1977-03-21 15:00:00","42","11.5"
"19","5/2/1977","1977-05-02 14:15:00","59","8.9"
"19","7/5/1977","1977-07-05 13:45:00","75","6.1"
"19","9/6/1977","1977-09-06 14:00:00","67","7.5"
"20","3/21/1977","1977-03-21 14:45:00","42","11.7"
"20","5/2/1977","1977-05-02 14:05:00","59","11"
"20","7/5/1977","1977-07-05 13:40:00","79","8.9"
"20","9/6/1977","1977-09-06 13:55:00","73","4.4"
"21","3/21/1977","1977-03-21 14:30:00","46","11"
"21","5/2/1977","1977-05-02 14:25:00","57","11.7"
"21","7/5/1977","1977-07-05 13:20:00","73","2.4"
"21","9/6/1977","1977-09-06 13:35:00","69","1.3"
"22","3/21/1977","1977-03-21 14:00:00","47","7.7"
"22","5/2/1977","1977-05-02 13:35:00","60","8"
"22","7/5/1977","1977-07-05 13:00:00","77","4"
"22","9/6/1977","1977-09-06 13:15:00","66","5.3"
