"OrigStationName","Date","Surveytime","TEMP_WATER","DO"
"ABR049","3/21/1977","1977-03-21 14:15:00","46","9.7"
"ABR049","5/2/1977","1977-05-02 13:50:00","61","7.6"
"ABR049","7/5/1977","1977-07-05 13:15:00","81","10.4"
"ABR049","9/6/1977","1977-09-06 13:30:00","73","4.2"
"ABR028","3/21/1977","1977-03-21 14:35:00","45","10.4"
"ABR028","5/2/1977","1977-05-02 14:00:00","58","9.9"
"ABR028","7/5/1977","1977-07-05 13:30:00","75","5.2"
"ABR028","9/6/1977","1977-09-06 13:45:00","70","4.9"
"ABR006","3/21/1977","1977-03-21 15:00:00","42","11.5"
"ABR006","5/2/1977","1977-05-02 14:15:00","59","8.9"
"ABR006","7/5/1977","1977-07-05 13:45:00","75","6.1"
"ABR006","9/6/1977","1977-09-06 14:00:00","67","7.5"
"HOB002","3/21/1977","1977-03-21 14:45:00","42","11.7"
"HOB002","5/2/1977","1977-05-02 14:05:00","59","11"
"HOB002","7/5/1977","1977-07-05 13:40:00","79","8.9"
"HOB002","9/6/1977","1977-09-06 13:55:00","73","4.4"
"SWBB","3/21/1977","1977-03-21 14:30:00","46","11"
"SWBB","5/2/1977","1977-05-02 14:25:00","57","11.7"
"SWBB","7/5/1977","1977-07-05 13:20:00","73","2.4"
"SWBB","9/6/1977","1977-09-06 13:35:00","69","1.3"
"HAB002","3/21/1977","1977-03-21 14:00:00","47","7.7"
"HAB002","5/2/1977","1977-05-02 13:35:00","60","8"
"HAB002","7/5/1977","1977-07-05 13:00:00","77","4"
"HAB002","9/6/1977","1977-09-06 13:15:00","66","5.3"
