"OrigStationName","Date","Surveytime","TEMP_WATER","DO","COD","BOD5","PH","TSS","DISSOLVED SOLIDS DATA","TS","TKN","ALK","HARDNESS DATA","TKN.1","NH3","NO3","TP","TCOLI","FCOLI","CADMIUM","IRON","LEAD","MANGANESE","ZINC"
"ABR049","3/21/1977","1977-03-21 14:15:00",46,9.7,"55","7.8","7.2","1","291","292","3.5","45","95","8.5","8.0","1.6","0.08","100","10","<.01","1.1","<.01","0.20","0.24"
"ABR049","5/2/1977","1977-05-02 13:50:00",61,7.6,"52","9","7.4","<0.5","306","306","4.1","54","96","9","8.6","5","0.04","820","30","<.01","0.60","<.01","0.03","0.12"
"ABR049","7/5/1977","1977-07-05 13:15:00",81,10.4,"61","3","7.4","1","353","354","4.2","64","124","5.3","4.9","3.5","0.02","500","240","<.01","0.80","<.01","0.05","0.05"
"ABR049","9/6/1977","1977-09-06 13:30:00",73,4.2,"50","1.2","7.3","3.5","480","484","2.2","57","137","7.9","6.8","4.8","0.05","1,400","40","<.01","0.65","<.01","0.22","0.05"
"ABR028","3/21/1977","1977-03-21 14:35:00",45,10.4,"66","10","8.8","10","332","342","6.2","57","95","4.3","4.0","2.2","0.10","2,000","60","<.01","1.2","0.03","0.18","0.18"
"ABR028","5/2/1977","1977-05-02 14:00:00",58,9.9,"58","8.7","7.6","<0.5","322","322","3.5","50","102","7","6.5","4.3","0.06","3,000","400","<.01","0.53","<.01","0.07","0.12"
"ABR028","7/5/1977","1977-07-05 13:30:00",75,5.2,"51","2.7","7.3","2","350","352","2.8","51","111","2.0","1.7","2.8","0.06","21,000","1,200","<.01","0.55","<.01","0.15","0.03"
"ABR028","9/6/1977","1977-09-06 13:45:00",70,4.9,"45","3.3","7.4","9","401","410","3.6","44","141","3.4","3.1","4.8","0.09","6,800","145","<.01","0.25","<.01","0.16","0.01"
"ABR006","3/21/1977","1977-03-21 15:00:00",42,11.5,"25","6","7.3","5","289","294","3.1","38","88","3.1","2.4","1.4","0.10","680","10","<.01","0.70","<.01","0.16","0.13"
"ABR006","5/2/1977","1977-05-02 14:15:00",59,8.9,"47","8.7","7.5","<0.5","306","306","3.3","44","95","4.1","3.5","3.7","0.07","1,600","300","<.01","0.57","<.01","0.1","0.10"
"ABR006","7/5/1977","1977-07-05 13:45:00",75,6.1,"67","3","7.2","4","388","392","2.3","48","118","1.4","0.48","2.4","0.04","2,000","240","<.01","0.70","<.01","0.15","<.01"
"ABR006","9/6/1977","1977-09-06 14:00:00",67,7.5,"55","0","7.4","3.5","598","602","1","63","175","1.2","0.1","1.4","0.05","1,800","140","<.01","0.25","<.01","0.08","<.01"
"HOB002","3/21/1977","1977-03-21 14:45:00",42,11.7,"45","1.8","7.2","4","208","212","1.9","34","70","0.92","0.09","0.6","0.24","300","60","<.01","0.30","<.01","0.12","0.03"
"HOB002","5/2/1977","1977-05-02 14:05:00",59,11,"58","6","7.8","2","238","240","3.8","32","68","0.7","0.02","1","0.08","1,500","100","<.01","0.20","<.01","0.05","0.02"
"HOB002","7/5/1977","1977-07-05 13:40:00",79,8.9,"56","2.4","8.4","0.5","259","260","1.6","43","73","0.82","0.15","0.1","0.03","1,000","90","<.01","0.50","<.01","0.05","<.01"
"HOB002","9/6/1977","1977-09-06 13:55:00",73,4.4,"45","1.2","7.3","5.5","260","266","3.2","38","60","1.4","0.18","0.1","0.09","700","20","<.01","0.65","<.01","0.23","<.01"
"SWBB","3/21/1977","1977-03-21 14:30:00",46,11,"86","4.2","7.1","35","359","394","17","27","76","1.7","0.05","1.7","0.48","36,000","4,300","<.01","1.2","0.12","0.15","0.13"
"SWBB","5/2/1977","1977-05-02 14:25:00",57,11.7,"58","3.6","8","<0.5","350","350","3.5","42","105","1","0.12","2.7","0.21","42,000","7,200","<.01","0.45","<.01","0.11","0.03"
"SWBB","7/5/1977","1977-07-05 13:20:00",73,2.4,"82","40","7.1","38","282","320","11","66","83","6.8","2.2","1.0","1.8","200,000","25,000","<.01","1.0","<.01","0.07","<.01"
"SWBB","9/6/1977","1977-09-06 13:35:00",69,1.3,"75","38","7.3","15","283","298","5.6","74","76","6.0","5.9","0.0","2.0","4,500,000","700,000","<.01","0.6","<.01","0.14","<.01"
"HAB002","3/21/1977","1977-03-21 14:00:00",47,7.7,"60","1.8","6.8","3","267","270","1.2","28","71","0.93","0.09","1.0","0.08","220","<5","<.01","0.42","<.01","0.08","0.05"
"HAB002","5/2/1977","1977-05-02 13:35:00",60,8,"37","2.4","7.2","<0.5","202","202","1.8","39","72","0.75","<.01","0.2","0.07","900","5","<.01","0.30","<.01","0.04","0.04"
"HAB002","7/5/1977","1977-07-05 13:00:00",77,4,"41","1.5","6.8","6","212","218","17","62","77","1.1","0.24","0.3","0.11","1,400","130","<.01","3.1","<.01","0.40","<.01"
"HAB002","9/6/1977","1977-09-06 13:15:00",66,5.3,"40","1.8","7.5","14","220","234","3.2","51","61","0.95","0.07","0.4","0.12","1,100","180","<.01","2.1","<.01","0.35","<.01"
