"OrigStationName","LocationID","SurveyDate","Datetime","TEMP_WATER","DO","DO_SAT","COD","BOD5","PH","ALK","TSS","TS","TKN","NH3","NO3","TP","TCOLI","FCOLI","CHLORIDE","HARDNESS","SULFATE DATA","ARSENIC DATA","BARIUM DATA","CADMIUM","CHROMIUM","COPPER","IRON","LEAD","MANGANESE","MERCURY DATA","NICKEL","SELENIUM DATA","SILVER DATA","SODIUM DATA","VANADIUM DATA","ZINC"
"AJ01","AJ01","1979-06-27","1979-06-27 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJ01","AJ01","1979-08-06","1979-08-06 13:55:00","","","","139","16","8.1","1390","34","738","172","148","0.3","0.54","4,000","","","","","","","","","","","","","","","","","","",""
"AJ01","AJ01","1979-12-12","1979-12-12 11:50:00","51","11","100","73","4.5","7.7","182","7","280","47","38","0.6","0.14","20","<5","","","","","","","","","","","","","","","","","",""
"AJ01","AJ01","1980-05-13","1980-05-13 11:45:00","64","8.8","92","61","3.6","7.4","56","10","200","4.2","4.2","0.4","0.08","8,000","190","39","","28","0.006","0.03","<.01","<.01","<.01","2","<.01","0.3","0.0002","<.001","<.001","<.01","24","<.01","0.02"
"AJ01","AJ01","1980-10-28","1980-10-28 11:55:00","41","6.5","51","29","4.5","7","44","5.5","204","4.1","3.1","0.6","0.13","700","140","","","","0.005","0.02","","<.01","0.02","1.3","0.03","","< 0.0001","<.001","<.001","<.001","","<.01","0.03"
"AJ01","AJ01","1981-02-26","1981-02-26 12:20:00","40","11.2","86","30","1.6","6.8","104","11","202","3.1","2.9","0.7","0.12","3,300","1.9","24","","91","<.001","<.004","<.01","<.01","0.01","1.9","0.04","","","","","","18","","0.17"
"AJ01","AJ01","1981-07-29","1981-07-29 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJ02","ABRN01","1979-06-27","1979-06-27 11:36:00","73","4.8","55","105","1.2","7.7","305","13","392","56","56","0.7","0.12","3,000","200","","","","","","","","","","","","","","","","","",""
"AJ02","ABRN01","1979-08-06","1979-08-06 13:35:00","76","2.6","31","108","29","8.2","1771","17","712","135","129","0.8","0.33","1,300","240","","","","","","","","","","","","","","","","","",""
"AJ02","ABRN01","1979-12-12","1979-12-12 11:30:00","49","10.5","92","77","5.1","7.8","182","7","300","49","37","0.6","0.05","30","<5","","","","","","","","","","","","","","","","","",""
"AJ02","ABRN01","1980-05-13","1980-05-13 11:25:00","63","7.7","82","43","3.6","7.3","61","11","212","4.2","4.2","0.5","0.1","600","100","36","","27","0.013","0.03","<.01","<.01","<.01","2","<.01","1","0.0005","<.001","<.001","<.01","26","0.01","0.04"
"AJ02","ABRN01","1980-10-28","1980-10-28 11:52:00","42","7.1","56","49","4.2","7.3","6.2","6","208","10","9.2","0.9","0.1","5,400","800","","","","0.006","0.021","","<.01","<.01","0.85","0.02","","< 0.0001","<.001","<.001","<.001","","<.01","0.05"
"AJ02","ABRN01","1981-02-26","1981-02-26 12:10:00","38","11.6","87","59","1","6.9","60","6","168","3","2.7","0.7","0.08","1,000","500","39","","50","<.001","<.004","<.01","<.01","0.01","0.9","<.01","","","","","","30","","0.1"
"AJ02","ABRN01","1981-07-29","1981-07-29 12:45:00","68","6.6","72","33","6.9","6.6","27","4","378","2.2","1.7","0.5","0.09","7,500","1,000","42","37","","0.01","0.01","<.01","0.01","<.01","1","0.05","","","","","","28","","0.04"
"AJ03","ABR070","1979-06-27","1979-06-27 11:29:00","75","9.5","114","43","5.7","7.3","31","32","162","1.8","0.13","0.1","0.11","100","10","","","","","","","","","","","","","","","","","",""
"AJ03","ABR070","1979-08-06","1979-08-06 13:30:00","85","9.4","125","25","2.1","7.6","45","24","246","1.3","0.35","0.1","0.08","4,000","200","","","","","","","","","","","","","","","","","",""
"AJ03","ABR070","1979-12-12","1979-12-12 11:30:00","49","13.4","117","87","0.9","7.5","37","5","230","0.75","0.09","0.7","0.01","600","200","","","","","","","","","","","","","","","","","",""
"AJ03","ABR070","1980-05-13","1980-05-13 11:35:00","63","9.8","102","52","7.2","7.3","28","6.5","178","1","0.06","0.5","0.12","1,000","220","42","","19","0.011","0.03","<.01","<.01","<.01","0.58","<.01","0.1","0.0002","<.001","<.001","<.01","35","<.01","0.04"
"AJ03","ABR070","1980-10-28","1980-10-28 11:40:00","45","9.2","76","29","4.8","6.8","12","7.5","100","1.5","0.24","0.3","0.18","4,100","800","","","","<.001","0.017","","<.01","0.01","0.6","0.02","","< 0.0001","<.001","<.001","<.001","","<.01","0.05"
"AJ03","ABR070","1981-02-26","1981-02-26 12:00:00","38","11.6","87","63","0.6","6.7","101","13","192","1.1","0.07","0.9","0.08","800","200","67","","24","<.001","<.004","<.01","<.01","0.01","0.64","0.03","","","","","","48","","0.07"
"AJ03","ABR070","1981-07-29","1981-07-29 12:35:00","72","7.6","86","33","6","7.3","41","3.5","162","0.79","0.1","0.1","0.07","2,500","1,000","39","52","","","0.01","0.01","<.01","<.01","0.55","0.01","","","","","","27","","0.02"
"AJ04","HAB001","1979-06-27","1979-06-27 11:50:00","70","7.4","84","67","3.6","7.5","119","8","378","17","17","0.6","0.08","1,100","200","","","","","","","","","","","","","","","","","",""
"AJ04","HAB001","1979-08-06","1979-08-06 12:45:00","79","6.8","85","25","2.7","8","120","5.5","464","24","20","1","0.04","7,000","500","","","","","","","","","","","","","","","","","",""
"AJ04","HAB001","1979-12-12","1979-12-12 11:22:00","46","9.9","83","82","2.1","7.5","102","3","430","19","19","0.7","0.01","60","<5","","","","","","","","","","","","","","","","","",""
"AJ04","HAB001","1980-05-13","1980-05-13 11:03:00","63","7.9","82","30","3.3","7.3","49","5","216","3.4","3.4","0.7","0.14","1,000","170","46","","34","0.001","0.04","<.01","<.01","0.02","1.1","<.01","0.14","0.0006","<.001","<.001","<.01","45","<.01","0.13"
"AJ04","HAB001","1980-10-28","1980-10-28 12:00:00","44","8.8","72","20","4.5","7.5","53","5.5","244","9.6","9.6","0.9","0.1","6,000","440","","","","0.002","0.021","","<.01","0.05","1.5","<.01","","< 0.0001","<.001","<.001","<.001","","<.01","0.35"
"AJ04","HAB001","1981-02-26","1981-02-26 11:50:00","35","12.2","88","77","3","6.7","102","22","176","2.4","2.3","0.7","0.08","400","100","46","","41","0.004","<.004","<.01","0.01","0.04","1.6","0.04","","","","","","34","","0.19"
"AJ04","HAB001","1981-07-29","1981-07-29 12:25:00","70","6.1","68","33","8.1","6.9","35","6","204","4","3.5","0.9","0.07","9,000","1,200","51","49","","","0.02","0.01","0.01","0.01","1.2","0.01","","","","","","39","","0.04"
"AJ05","ABR049","1979-06-27","1979-06-27 11:11:00","68","5.2","58","76","4.5","7.9","104","12","346","13","13","0.9","0.15","5,000","200","","","","","","","","","","","","","","","","","",""
"AJ05","ABR049","1979-08-06","1979-08-06 14:15:00","76","6.3","76","20","3.3","7.9","82","3.5","42","8.4","7.6","1.5","0.18","1,200","400","","","","","","","","","","","","","","","","","",""
"AJ05","ABR049","1979-12-12","1979-12-12 12:06:00","49","9.4","82","44","5.1","7.8","80","4","380","16","13","1.4","0.07","80","10","","","","","","","","","","","","","","","","","",""
"AJ05","ABR049","1980-05-13","1980-05-13 11:55:00","63","6","63","48","3","7.4","53","4.5","250","4.6","4.6","1","0.06","2,100","180","52","","50","0.011","0.03","<.01","<.01","<.01","0.9","<.01","0.15","0.0002","<.001","<.001","<.01","33","<.01","0.1"
