TABLE 17,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,
,1 9 8 0,"SULFATE DATA
1 9 8 1",(mg/l),1 9 8 0,1 9 8 1
STATION,5/13,2/26,STATION,5/13,2/26
AJOl,28,91,AJTOl,17,
AJ02,27,50,AJT02,13,19
AJ03,19,24,AJT03,,18
AJ04,34,41,AJT04,,22
AJ05,50,116,AJT05,,22
AJ06,45,89,HBTOl,25,14
AJ07,34,76,HBT02,1000,378
AJ08,36,70,HBT03,43,386
AJ09,19,21,HBT04,,23
AJlO,33,59,HBT05,450,236
AJll,36,59,HBT06,32,89
MYlO,34,43,HBT07,175,26
MYll,29,38,HBT08,225,184
MY12,11,19,,,
MY13,20,18,,,
MY14,25,,,,
MY15,,28,,,
MY16A,,37,,,
MY17A,,19,,,
MY18,,126,,,
HBO!,75,91,,,
HB02,18,24,,,
41,,,,,
