TABLE 18,,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,,
ARSENIC DATA (mg/1),,,,,,,,,
1 9 8 0     1 9 8 1                1 9 8 0     1 9 8 1,,,,,,,,,
STATION,5/13,10/28,2/26,7/29,STATION,5/13,10/28,2/26,7/29
AJOl,0.006,0.005,0.000,,AJTOl,0.003,,,
AJ02,0.013,0.006,0.00,0.010,AJT02,0.001,o.ooo,0.000,
AJ03,0.011,0.000,0.000,,AJT03,,0.005,0.000,*
AJ04,0.001,0.002,0.004,,AJT04,,o.ooo,o.ooo,
AJ05,0.011,0.006,0.003,,AJT04,,o.ooo,o.ooo,
AJ06,0.006,0.005,0.003,,HBTOl,0.005,0.005,0.008,O.Oll
AJ07,0.001,0.005,0.003,,HBT02,0.015,0.007,0.002,0.005
AJ08,0.006,0.005,0.003,,HBT03,0.002,0.003,0.002,
AJ09,o.ooo,,0.000,,HBT04,,,,0.007
AJlO,0.004,0.003,,,HBT05,0.009,0.009,0.004,0.014
AJll,0.004,,0.000,,HBT06,0.010,0.005,0.004,0.018
MYlO,0.002,0.000,0.000,,HBT07,0.003,o.ooo,0.000,
MYll,0.003,0.000,0.007,,HBT08,0.015,0.003,0.002,0.018
MY12,0.002,0.000,0.000,,,,,,
*Not sampled: riverbed was dry,,,,,,,,,
MY13,0.008,0.003,0.002,,during survey period.,,,,
MY14,,,,,,,,,
MY15,0.009,0.002,o.ooo,,,,,,
MY16A,,,0.000,,,,,,
MY17A,,0.000,0.000,,,,,,
MY18,,0.000,0.003,,,,,,
HBOl,0.007,0.010,0.006,0.008,,,,,
HB02,0.002,0.000,0.007,0.002,,,,,
42,,,,,,,,,
