TABLE 28,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,
SELENIUM DATA (mg/l),,,,,
,1 9 8 0,,,1 9 8 0,
STATION,5/13     10/28,,STATION,5/13       10/28,
AJOl,0.000,o.ooo,AJTOl,0.000,
AJ02,0.000,0.000,AJT02,0.000,o.ooo
AJ03,0.000,0.000,AJT03,,o.ooo
AJ04,0.000,0.000,AJT04,,o.ooo
AJ05,0.000,0.000,AJT05,,o.ooo
AJ06,o.ooo,0.000,HBTOl,0.000,o.ooo
AJ07,o.ooo,o.ooo,HBT02,0.017,o.ooo
AJ08,0.000,o.ooo,HBT03,0.000,o.ooo
AJ09,0.000,,HBT04,,
AJlO,0.000,0.000,HBT05,0.004,0.000
AJll,0.000,,HBT06,0.000,o.ooo
MYlO,0.000,0.000,HBT07,0.001,o.ooo
MYll,0.000,0.000,HBT08,0.002,0.000
MY12,0.000,0.000,,,
MY13,0.000,0.000,,,
MY14,0.000,,,,
MY15,,0.000,,,
MY16A,,,,,
MY17A,,0.000,,,
MY18,,0.000,,,
HBOl,0.000,0.000,,,
HB02,o.ooo,o.ooo,,,
52,,,,,
