TABLE 30,,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,,
SODIUM DATA (mg/l),,,,,,,,,
1 9 8 0    1 9 8 1              1 9 8 0    1 9 8 1,,,,,,,,,
STATION   5/13  2/26  7/29     STATION   5/13   2/26   7/29,,,,,,,,,
AJOl,24,,18,,AJTOl,35,,,
AJ02,26,,30,28,AJT02,26,81,,24
AJ03,35,,48,27,AJT03,,39,,*
AJ04,45,,34,39,AJT04,,32,,19
AJ05,33,,48,22,AJT05,,41,,25
AJ06,35,,75,27,HBTOl,25,15,,54
AJ07,35,,59,30,HBT02,300,90,,230
AJ08,35,,61,18,HBT03,27,96,,
AJ09,30,,120,36,HBT04,,,,18
AJlO,35,,,37,HBT05,186,57,,110
AJll,35,,150,44,HBT06,75,51,,102
MYlO,36,,55,50,HBT07,30,4.0,,
MYll,36,,72,44,HBT08,150,56,,81
MY12,,17,76,38,                  ,,,,
MY13,,28,65,45,"*Not sampled: riverbed
during survey period.",,,,
MY14,,30,,47,,,,,
MY15,,,67,53,,,,,
MY16A,,,57,,,,,,
MY17A,,,80,155,,,,,
MY18,,,170,750,,,,,
HBOl,,110,55,45,,,,,
HB02,,27,58,23,,,,,
was dry,,,,,,,,,
54,,,,,,,,,
