TABLE 31,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,
VANADIUM DATA (mg/l),,,,,
,1 9 8,0,,1 9 8 0,
STATION,5/13,10/28,STATION,5/13       10/28,
AJOl,.o.oo,o.oo,AJTOl,o.oo,
"AJ02
AJ03","0.01
o.oo","o.oo
o.oo","AJT02'
AJT03",0.01,o.oo o.oo
"AJ04
AJ05","o.oo
o.oo","o.oo
o.oo","AJT04
AJT05",,o.oo o.oo
AJ06,0.00,o.oo,HBTOl,o.oo,o.oo
AJ07,0.01,0.00,HBT02,0.13,o.oo
AJ08,0.00,o.oo,HBT03,0.02,o.oo
AJ09,0.00,,HBT04,,
AJlO,0.00,0.00,HBTOS,0.02,o.oo
AJll,0.00,,HBT06,0.05,0.00
MYlO,o.oo,o.oo,HBT07,0.02,o.oo
MYll,o.oo,o.oo,HBT08,0.03,o.oo
MY12,0.00,o.oo,,,
MY13,0.01,0.00,,,
MY14,,,,,
MY15,0.03,0.00,,,
MY16A,,,,,
MY17A,,0.00,,,
MY18,,0.00,,,
HBO!,o.oo,0.00,,,
HB02,0.00,0.00,,,
55,,,,,
