TABLE 9,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,
TOTAL KJELDAHL-NITROGEN DATA (mg/l ),,,,,,,
1 9 7 9             1 9 8 0         1 9 8 1,,,,,,,
STATION,6/27,8/6 .,12/12,5/13,10/28,2/26,7/29
AJOl,,172,47,4.2,4.1,3.1,
AJ02,56,135,49,4.2,10,3.0,2.2
AJ03,1.8,1.3,0.75,1.0,. 1.5,1.1,0.79
AJ04,17,24,19,3.4,9.6,2.4,4.0
AJ05,13,8.4,16,4.6,8.9,8.3,5.8
AJ06,10,4.9,12,4.3,7.1,6.1,4.5
AJ07,8.0,8.3,10,3.0,6.3,5.9,5.0
AJ08,6.4,3.8,9.0,3.0,6.3,4.5,3.4
AJ09,1.6,1.7,1.1,1.1,,1.8,1.1
AJlO,3.0,1.9,7.1,2.7,5.5,4.2,2.9
AJll,,,6.6,2.7,,4.4,2.0
MYlO,3.1,1.5,2.9,4.7,2.5,3.2,1.4
MYll,3.3,1.2,2.4,2.4,2.7,1.7,1.0
MY12,1.5,1.1,1.1,1.6,1.8,1.1,0.93
MY13,3.2,1.9,,1.7,2.6,1.8,1.4
MY14,,,,3.9,,,1.3
MY15,3.0,1.8,,,2.3,1.4,1.6
MY16A,,,,,,7.1,
MY17A,2.9,2.5,,,2.2,2.3,1.5
MY18,3.3,2.4,,,2.6,1.8,2.0
HBOl,17,18,13,1.8,11,10,23
HB02,1.6,1.5,0.89,1.0,1.8,0.92,1.2
26,,,,,,,
