ID,LocationDescription,WaterBodyID,MunicipalityID,Latitude,Longitude,LocationTypeID,LocationTypeName,CoordinateSystem
ABRBancroft,,Aberjona River,Reading,42.533753,-71.110825,4,Channelized Stream,WGS84
ABRBirchMedOak3,,Aberjona River,Reading,42.536893,-71.108211,4,Channelized Stream,WGS84
ABRBM,,Aberjona River,Reading,42.536822,-71.10855,4,Channelized Stream,WGS84
ABRBMF,,Aberjona River,Reading,42.536075,-71.113197,4,Channelized Stream,WGS84
ABRBMMN,,Aberjona River,Reading,42.536479,-71.106658,4,Channelized Stream,WGS84
ABRBMMS,,Aberjona River,Reading,42.536203,-71.106413,4,Channelized Stream,WGS84
ABRBMO1,,Aberjona River,Reading,42.536819,-71.107963,4,Channelized Stream,WGS84
ABRBMS,,Aberjona River,Reading,42.537611,-71.110176,4,Channelized Stream,WGS84
ABRCoolidge2,,Aberjona River,Reading,42.518481,-71.121837,4,Channelized Stream,WGS84
ABRForestN,,Aberjona River,Reading,42.54076,-71.109781,4,Channelized Stream,WGS84
ABRForestS,,Aberjona River,Reading,42.540541,-71.109918,4,Channelized Stream,WGS84
ABRHancock,,Aberjona River,Reading,42.527548,-71.119686,4,Channelized Stream,WGS84
ABRHanscom,,Aberjona River,Reading,42.534466,-71.113216,4,Channelized Stream,WGS84
ABRHemlock,,Aberjona River,Reading,42.509349,-71.115681,4,Channelized Stream,WGS84
ABRHemlock2,,Aberjona River,Reading,42.507534,-71.113958,4,Channelized Stream,WGS84
ABRHoward,,Aberjona River,Reading,42.515216,-71.121044,4,Channelized Stream,WGS84
ABRKeith,,Aberjona River,Reading,42.51629,-71.121325,4,Channelized Stream,WGS84
ABRMainForest,,Aberjona River,Reading,42.540569,-71.10491,4,Channelized Stream,WGS84
ABRMPut,,Aberjona River,Reading,42.537967,-71.10582,4,Channelized Stream,WGS84
ABRMunroe,,Aberjona River,Reading,42.520007,-71.126605,4,Channelized Stream,WGS84
ABROAK,,Aberjona River,Reading,42.51369712,-71.11530129,4,Channelized Stream,WGS84
ABROak2,,Aberjona River,Reading,42.5134012,-71.1157758,4,Channelized Stream,WGS84
ABROldFarm1,,Aberjona River,Reading,42.507315,-71.108768,4,Channelized Stream,WGS84
