Report Station,Existing( Use),Existing Station- calculation estimate,Distance between
AJ01,,ABR049,100.23
AJ02,,BEI007,1003.25
AJ03,ABRN01,ABR070,1.04
AJ04,HAB001,HAB001,1.17
AJ05,ABR049,ABR049,0.35
AJ06,ABR036,ABRCoolidge2,106.32
AJ07,ABR028,ABR028,0.03
AJ08,ABR017,ABR017,0.61
AJ09,,SHC002,1000.92
AJ10,ABR006,MIC013,10000.57
AJ11,ABR001,ABR001,0.57
MY10,UPL001,LMLA,0.45
MY11,MYR071,MYR071,1.19
MY12,MIB001,LMLK,1.09
MY13,MWRA070,MWRA070,0.44
MY14,MWRA172,ALB011,1.06
MY15,MWRA061,MWRA061,1.27
MY16A,MYR39,MYR39,104.2
MY17A,MAR036,MAR036,0.51
MY18,MWRA059,MWRA052,10.02
HB01,,ABR049,100.42
HB02,,HAB002,1.99
AJT01,SKIP,WIHLEWIS0,2550.33
AJT02,ABRMPL93SWPA,STOUTB,101.39
AJT03,,HOB103,1.13
AJT04,,CUBLEX,0.58
AJT05,CUBLEXE,CUBLEXE,0.62
HBT01,,MIC013,10000.57
