TABLE 4,,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,,
FIVE-DAY BIOCHEMICAL OXYGEN DEMAND DATA (mg/l),,,,,,,,,
,,1 9 7 9,,,,1 9 8 0,,1 9 8 1,
STATION,6/27/79,,8/6/79,12/12/79,5/13/80,,10/28/80,2/26/81,7/29/81
AJ01,,,16,4.5,3.6,,4.5,1.6,
AJ02,1.2,,29,5.1,3.6,,4.2,1,6.9
AJ03,5.7,,2.1,0.9,7.2,,4.8,0.6,6
AJ04,3.6,,2.7,2.1,3.3,,4.5,3,8.1
AJ05,4.5,,3.3,5.1,3,,3,1.5,4.5
AJ06,3.6,,5.1,0.3,2.4,,4.2,4.5,11
AJ07,8.1,,6.6,2.1,11,,6.9,1.5,14
AJ08,7.5,,4.8,1.5,6.3,,2.4,4.2,8.4
AJ09,5.4,,5.1,2.4,2.1,,,5.7,7.2
AJ10,2.4,,2.1,1.8,3.6,,3.9,4.5,6.9
AJ11,,,,2.7,1.8,,,3.9,7.2
MY10,,,5.7,1.8,2.4,,2.1,2.7,9.6
MY11,,,3.6,2.1,6,,24,2.7,6
MY12,,,2.4,1.8,6,,2.4,3.6,7.5
MY13,,,6.6,,17,,5.4,8.7,9.3
MY14,,,,,17,,,,8.7
MY15,,,4.8,,,,2.1,3.9,11
MY16A,,,,,,,,58,
MY17A,,,9.6,,,,3.6,11,9
MY18,6.9,,8.4,,,,4.5,6.3,9
HB01,2.1,,2.1,1.8,3.3,,4.8,1.3,6
HB02,1.8,,0.9,0.3,1.5,,4.2,1.5,3.6
