TABLE 5,,,,,,,
MYSTIC RIVER BASIN SURVEY pH DATA (STANDARD UNITS),,,,,,,
,,,,,,,
,,1 9 7 9,,1980,,1 9 8 1,
STATION,6/27/79,8/6/79,12/12/79,5/13/80,10/28/80,2/26/81,7/29/81
AJ01,,8.1,7.7,7.4,7,6.8,
AJ02,7.7,8.2,7.8,7.3,7.3,6.9,6.6
AJ03,7.3,7.6,7.5,7.3,6.8,6.7,7.3
AJ04,7.5,8,7.5,7.3,7.5,6.7,6.9
AJ05,7.9,7.9,7.8,7.4,7.1,6.8,7.6
AJ06,7.4,7.8,7.6,7.3,7.1,6.9,7.2
AJ07,7.4,7.9,7.9,7.4,6.9,7.5,6.9
AJ08,7.3,7.8,8,7.7,6.9,7.4,7.6
AJ09,7.8,7.9,7.9,8,,7.6,6.9
AJ10,7.1,7.8,8,7.4,6.7,7.3,7.7
AJ11,,,7.9,7.7,,6.4,7.2
MY10,7.8,8.3,7,7.8,7,6.9,8.3
MY11,7.7,8,7.8,7.5,7.1,7.2,7.8
MY12,7.6,8.1,7.7,6.9,7,7,6.5
MY13,7.6,7.4,,7.2,6.9,6.8,7
MY14,,,,7.6,,,7.8
MY15,7.7,7.5,,,7.2,7,6.7
MY16A,,,,,,7,
MY17A,7.5,7.7,,,6.8,6.8,7.6
MY18,8.2,8.5,,,7.3,6.8,7.2
HB01,7.6,8,7.5,7.4,7.1,6.7,7.8
HB02,7,7.6,7.2,7.1,6.9,6.5,7.8
