"OriginalLocationID","LocationID","Datetime","AMMONIA-NITROGEN DATA      "
"AJ01","AJ01","8/6/79","148"
"AJ01","AJ01","12/12/79","38"
"AJ01","AJ01","5/13/80","4.2"
"AJ01","AJ01","10/28/80","3.1"
"AJ01","AJ01","2/26/81","2.9"
"AJ02","ABRN01","6/27/79","56"
"AJ02","ABRN01","8/6/79","129"
"AJ02","ABRN01","12/12/79","37"
"AJ02","ABRN01","5/13/80","4.2"
"AJ02","ABRN01","10/28/80","9.2"
"AJ02","ABRN01","2/26/81","2.7"
"AJ02","ABRN01","7/29/81","1.7"
"AJ03","ABR070","6/27/79","0.13"
"AJ03","ABR070","8/6/79","0.35"
"AJ03","ABR070","12/12/79","0.09"
"AJ03","ABR070","5/13/80","0.06"
"AJ03","ABR070","10/28/80","0.24"
"AJ03","ABR070","2/26/81","0.07"
"AJ03","ABR070","7/29/81","0.1"
"AJ04","HAB001","6/27/79","17"
"AJ04","HAB001","8/6/79","20"
"AJ04","HAB001","12/12/79","19"
"AJ04","HAB001","5/13/80","3.4"
"AJ04","HAB001","10/28/80","9.6"
"AJ04","HAB001","2/26/81","2.3"
"AJ04","HAB001","7/29/81","3.5"
"AJ05","ABR049","6/27/79","13"
"AJ05","ABR049","8/6/79","7.6"
"AJ05","ABR049","12/12/79","13"
"AJ05","ABR049","5/13/80","4.6"
"AJ05","ABR049","10/28/80","8"
"AJ05","ABR049","2/26/81","7.7"
"AJ05","ABR049","7/29/81","5.5"
"AJ06","ABR036","6/27/79","10"
"AJ06","ABR036","8/6/79","4.5"
"AJ06","ABR036","12/12/79","9.2"
"AJ06","ABR036","5/13/80","4.3"
"AJ06","ABR036","10/28/80","6.2"
"AJ06","ABR036","2/26/81","5.7"
"AJ06","ABR036","7/29/81","4.5"
"AJ07","ABR028","6/27/79","8"
"AJ07","ABR028","8/6/79","6.1"
"AJ07","ABR028","12/12/79","8"
"AJ07","ABR028","5/13/80","3"
"AJ07","ABR028","10/28/80","4.7"
"AJ07","ABR028","2/26/81","3.6"
"AJ07","ABR028","7/29/81","4.5"
"AJ08","ABR017","6/27/79","6.3"
"AJ08","ABR017","8/6/79","3.7"
