"OriginalLocationID","LocationID","Datetime","NITRATE-NITROGEN DATA  "
"AJ01","AJ01","8/6/1979","0.3"
"AJ01","AJ01","12/12/1979","0.6"
"AJ01","AJ01","5/13/1980","0.4"
"AJ01","AJ01","10/28/1980","0.6"
"AJ01","AJ01","2/26/1981","0.7"
"AJ02","ABRN01","6/27/1979","0.7"
"AJ02","ABRN01","8/6/1979","0.8"
"AJ02","ABRN01","12/12/1979","0.6"
"AJ02","ABRN01","5/13/1980","0.5"
"AJ02","ABRN01","10/28/1980","0.9"
"AJ02","ABRN01","2/26/1981","0.7"
"AJ02","ABRN01","7/29/1981","0.5"
"AJ03","ABR070","6/27/1979","0.1"
"AJ03","ABR070","8/6/1979","0.1"
"AJ03","ABR070","12/12/1979","0.7"
"AJ03","ABR070","5/13/1980","0.5"
"AJ03","ABR070","10/28/1980","0.3"
"AJ03","ABR070","2/26/1981","0.9"
"AJ03","ABR070","7/29/1981","0.1"
"AJ04","HAB001","6/27/1979","0.6"
"AJ04","HAB001","8/6/1979","1"
"AJ04","HAB001","12/12/1979","0.7"
"AJ04","HAB001","5/13/1980","0.7"
"AJ04","HAB001","10/28/1980","0.9"
"AJ04","HAB001","2/26/1981","0.7"
"AJ04","HAB001","7/29/1981","0.9"
"AJ05","ABR049","6/27/1979","0.9"
"AJ05","ABR049","8/6/1979","1.5"
"AJ05","ABR049","12/12/1979","1.4"
"AJ05","ABR049","5/13/1980","1"
"AJ05","ABR049","10/28/1980","0.9"
"AJ05","ABR049","2/26/1981","0.7"
"AJ05","ABR049","7/29/1981","1.3"
"AJ06","ABR036","6/27/1979","1.4"
"AJ06","ABR036","8/6/1979","3"
"AJ06","ABR036","12/12/1979","1.6"
"AJ06","ABR036","5/13/1980","1.3"
"AJ06","ABR036","10/28/1980","1"
"AJ06","ABR036","2/26/1981","1"
"AJ06","ABR036","7/29/1981","1.4"
"AJ07","ABR028","6/27/1979","1.8"
"AJ07","ABR028","8/6/1979","3.6"
"AJ07","ABR028","12/12/1979","3.5"
"AJ07","ABR028","5/13/1980","1.2"
"AJ07","ABR028","10/28/1980","1.2"
"AJ07","ABR028","2/26/1981","1.5"
"AJ07","ABR028","7/29/1981","1.9"
"AJ08","ABR017","6/27/1979","2"
"AJ08","ABR017","8/6/1979","3"
"AJ08","ABR017","12/12/1979","1.9"
"AJ08","ABR017","5/13/1980","1.3"
"AJ08","ABR017","10/28/1980","1.1"
"AJ08","ABR017","2/26/1981","1"
"AJ08","ABR017","7/29/1981","1.4"
"AJ10","ABR006","6/27/1979","1.6"
"AJ10","ABR006","8/6/1979","2.5"
"AJ10","ABR006","12/12/1979","1.4"
"AJ10","ABR006","5/13/1980","5.2"
"AJ10","ABR006","10/28/1980","1.1"
"AJ10","ABR006","2/26/1981","1.2"
"AJ10","ABR006","7/29/1981","3"
"AJ11","ABR001","12/12/1979","1.6"
"AJ11","ABR001","5/13/1980","1.3"
