TABLE 12 (CONTINUED),,,,,,,
,,,,,,,
,,,,,,,
1 9 7 9            1 9 8 0         1 9 8 1,,,,,,,
STATION   6/27  8/6  12/12    5/13   10/28ææææ2/26ææææ7/29,6/27/1979,8/6/1979,12/12/1979,5/13/1980,10/28/1980,2/26/1981,7/29/1981
AJT01,,,0.01,0.08,,,
AJT02,1.6,0.44,0.03,0.64,2.5,0.16,0.38
AJT03,,,,,0.2,0.08,
AJT04,,,,,0.1,0.08,0.07
AJT05,,,,,0.1,0.18,0.06
HBT01,0.03,,0.11,0.04,0.1,0.1,0.03
HBT02,0.18,,0.19,0.28,0.18,0.12,0.37
HBT03,,,,0.04,0.15,0.1,
HBT04,,,,,,0.08,0.1
HBT05,0.19,0.12,0.09,0.18,0.15,0.12,0.12
HBT06,0.07,0.04,0.05,0.12,0.15,0.38,0.07
HBT07,,,,0.26,0.4,0.26,
HBT08,0.09,0.05,0.07,7.6,0.13,0.14,0.06
*Not sampled: riverbed was dry during survey period.,,,,,,,
33,,,,,,,
