"OriginalLocationID","LocationID","Datetime","FECAL COLIFORM BACTERIA DATA"
"AJ01","AJ01","12/12/1979","<5"
"AJ01","AJ01","5/13/1980","190"
"AJ01","AJ01","10/28/1980","140"
"AJ01","AJ01","2/26/1981","1.9"
"AJ02","ABRN01","6/27/1979","200"
"AJ02","ABRN01","8/6/1979","240"
"AJ02","ABRN01","12/12/1979","<5"
"AJ02","ABRN01","5/13/1980","100"
"AJ02","ABRN01","10/28/1980","800"
"AJ02","ABRN01","2/26/1981","500"
"AJ02","ABRN01","7/29/1981","1,000"
"AJ03","ABR070","6/27/1979","10"
"AJ03","ABR070","8/6/1979","200"
"AJ03","ABR070","12/12/1979","200"
"AJ03","ABR070","5/13/1980","220"
"AJ03","ABR070","10/28/1980","800"
"AJ03","ABR070","2/26/1981","200"
"AJ03","ABR070","7/29/1981","1,000"
"AJ04","HAB001","6/27/1979","200"
"AJ04","HAB001","8/6/1979","500"
"AJ04","HAB001","12/12/1979","<5"
"AJ04","HAB001","5/13/1980","170"
"AJ04","HAB001","10/28/1980","440"
"AJ04","HAB001","2/26/1981","100"
"AJ04","HAB001","7/29/1981","1,200"
"AJ05","ABR049","6/27/1979","200"
"AJ05","ABR049","8/6/1979","400"
"AJ05","ABR049","12/12/1979","10"
"AJ05","ABR049","5/13/1980","180"
"AJ05","ABR049","10/28/1980","380"
"AJ05","ABR049","2/26/1981","60"
"AJ05","ABR049","7/29/1981","2,100"
"AJ06","ABR036","6/27/1979","900"
"AJ06","ABR036","8/6/1979","700"
"AJ06","ABR036","12/12/1979","20"
"AJ06","ABR036","5/13/1980","850"
"AJ06","ABR036","10/28/1980","420"
"AJ06","ABR036","2/26/1981","1,000"
"AJ06","ABR036","7/29/1981","2,600"
"AJ07","ABR028","6/27/1979","50,000"
"AJ07","ABR028","8/6/1979","600"
"AJ07","ABR028","12/12/1979","150"
"AJ07","ABR028","5/13/1980","3,000"
"AJ07","ABR028","10/28/1980","16,000"
"AJ07","ABR028","2/26/1981","4,700"
"AJ07","ABR028","7/29/1981","2,200"
"AJ08","ABR017","6/27/1979","6,000"
"AJ08","ABR017","8/6/1979","160"
"AJ08","ABR017","12/12/1979","180"
"AJ08","ABR017","5/13/1980","1,500"
"AJ08","ABR017","10/28/1980","10,000"
"AJ08","ABR017","2/26/1981","4,000"
"AJ08","ABR017","7/29/1981","7,000"
"AJ10","ABR006","6/27/1979","400"
"AJ10","ABR006","8/6/1979","80"
"AJ10","ABR006","12/12/1979","200"
"AJ10","ABR006","5/13/1980","1,800"
"AJ10","ABR006","10/28/1980","4,100"
"AJ10","ABR006","2/26/1981","3,400"
"AJ10","ABR006","7/29/1981","2,200"
"AJ11","ABR001","12/12/1979","50"
"AJ11","ABR001","5/13/1980","70"
"AJ11","ABR001","2/26/1981","2,900"
"AJ11","ABR001","7/29/1981","1,200"
"MY10","UPL001","6/27/1979","20"
"MY10","UPL001","8/6/1979","10"
"MY10","UPL001","12/12/1979","5"
"MY10","UPL001","5/13/1980","40"
"MY10","UPL001","10/28/1980","240"
"MY10","UPL001","2/26/1981","700"
"MY10","UPL001","7/29/1981","20"
"MY11","MYR071","6/27/1979","100"
"MY11","MYR071","8/6/1979","400"
"MY11","MYR071","12/12/1979","300"
"MY11","MYR071","5/13/1980","10,000"
"MY11","MYR071","10/28/1980","200"
"MY11","MYR071","2/26/1981","100"
"MY11","MYR071","7/29/1981","3,800"
"MY12","MIB001","6/27/1979","780"
"MY12","MIB001","8/6/1979","560"
"MY12","MIB001","12/12/1979","1,800"
"MY12","MIB001","5/13/1980","9,000"
"MY12","MIB001","10/28/1980","3,200"
"MY12","MIB001","2/26/1981","2,100"
"MY12","MIB001","7/29/1981","5,000"
"MY13","MWRA070","6/27/1979","4,000"
"MY13","MWRA070","8/6/1979","540"
"MY13","MWRA070","5/13/1980","23,000"
"MY13","MWRA070","10/28/1980","120,000"
"MY13","MWRA070","2/26/1981","53,000"
"MY13","MWRA070","7/29/1981","2,400"
"MY14","MWRA172","5/13/1980","480,000"
"MY14","MWRA172","7/29/1981","9,000"
"MY15","MWRA061","6/27/1979","900"
"MY15","MWRA061","8/6/1979","400"
"MY15","MWRA061","10/28/1980","3,800"
"MY15","MWRA061","2/26/1981","12,300"
"MY15","MWRA061","7/29/1981","960"
"MY16A","MYR39","2/26/1981","90,000"
"MY17A","MAR036","6/27/1979","50"
"MY17A","MAR036","8/6/1979","300"
"MY17A","MAR036","10/28/1980","4,300"
"MY17A","MAR036","2/26/1981","40,000"
"MY17A","MAR036","7/29/1981","2,000"
"MY18","MWRA059","6/27/1979","10"
"MY18","MWRA059","8/6/1979","80"
"MY18","MWRA059","10/28/1980","1,200"
"MY18","MWRA059","2/26/1981","1,800"
"MY18","MWRA059","7/29/1981","800"
"HB01","HAB0015","6/27/1979","20"
"HB01","HAB0015","8/6/1979","1,300"
"HB01","HAB0015","12/12/1979","<5"
"HB01","HAB0015","5/13/1980","800"
"HB01","HAB0015","10/28/1980","400"
"HB01","HAB0015","2/26/1981","100"
"HB01","HAB0015","7/29/1981","800"
"HB02","HB02","6/27/1979","10"
"HB02","HB02","8/6/1979","400"
"HB02","HB02","5/13/1980","130"
"HB02","HB02","10/28/1980","600"
"HB02","HB02","2/26/1981","40"
"HB02","HB02","7/29/1981","400"
"AJT02","SWBB","6/27/79","450,000"
"AJT02","SWBB","8/6/79","4,800"
"AJT02","SWBB","12/12/79","800"
"AJT02","SWBB","5/13/80","58,000"
"AJT02","SWBB","10/28/80","800,000"
"AJT02","SWBB","2/26/81","9,200"
"AJT02","SWBB","7/29/81","40,000"
"AJT03","HOB103","10/28/80","7,000"
"AJT03","HOB103","2/26/81","60"
"AJT03","HOB103","7/29/81","*"
"AJT04","SHBTRIB","10/28/80","80"
"AJT04","SHBTRIB","2/26/81","200"
"AJT04","SHBTRIB","7/29/81","1,400"
"AJT05","CUBLEX","10/28/80","460"
"AJT05","CUBLEX","2/26/81","900"
"AJT05","CUBLEX","7/29/81","1,000"
"HBT01","HBT01","6/27/79","5"
"HBT01","HBT01","5/13/80","10"
"HBT01","HBT01","10/28/80","10"
"HBT01","HBT01","2/26/81","<20"
"HBT01","HBT01","7/29/81","40"
"HBT02","HBT02","6/27/79","200"
"HBT02","HBT02","5/13/80","480"
"HBT02","HBT02","10/28/80","200"
"HBT02","HBT02","2/26/81","<20"
"HBT02","HBT02","7/29/81","5,600"
"HBT03","HBT03","5/13/80","<5"
"HBT03","HBT03","10/28/80","40"
"HBT03","HBT03","2/26/81","<20"
"HBT05","HBT05","6/27/79","10"
"HBT05","HBT05","8/6/79","20"
"HBT05","HBT05","5/13/80","100"
"HBT05","HBT05","10/28/80","30"
"HBT05","HBT05","2/26/81","<20"
"HBT05","HBT05","7/29/81","800"
"HBT06","HBT06","6/27/79","20"
"HBT06","HBT06","8/6/79","280"
"HBT06","HBT06","5/13/80","10"
"HBT06","HBT06","10/28/80","10"
"HBT06","HBT06","2/26/81","200"
"HBT06","HBT06","7/29/81","1,000"
"HBT07","HBT07","6/27/79","10"
"HBT07","HBT07","5/13/80","<5"
"HBT07","HBT07","10/28/80","10"
"HBT07","HBT07","2/26/81","2,900"
"HBT08","HBT08","6/27/79","100"
"HBT08","HBT08","8/6/79","100"
"HBT08","HBT08","5/13/80","100"
"HBT08","HBT08","10/28/80","140"
"HBT08","HBT08","2/26/81","20"
"HBT08","HBT08","7/29/81","900"
