TABLE 16,,
MYSTIC RIVER BASIN SURVEY,,
"TOTAL HARDNESS DATA (as mg Caco3/l)
1 9 8 0   1 9 8 1",,
STATION,10/29/80,7/29/81
AJ01,89,
AJ02,80,37
AJ03,49,52
AJ04,75,49
AJ05,81,56
AJ06,82,56
AJ07,89,51
AJ08,81,32
AJ09,,51
AJ10,83,75
AJ11,,95
MY10,86,84
MY11,91,73
MY12,61,55
MY13,86,73
MY14,,98
MY15,105,78
MY16A,,
MY17A,57,95
MY18,163,146
HB01,73,26
HB02,44,57
AJT01,,
AJT02,74,45
AJT03,71,
AJT04,72,49
AJT05,95,453
HBT01,75,74
HBT02,84,80
HBT03,34,
HBT04,,58
HBT05,138,71
HBT06,185,100
HBT07,104,
HBT08,142,102
