"OriginalLocationID","LocationID","Datetime","SULFATE DATA"
"AJ05","ABR049","34","50"
"AJ05","ABR049","41","116"
"AJ06","ABR036","34","45"
"AJ06","ABR036","41","89"
"AJ07","ABR028","34","34"
"AJ07","ABR028","41","76"
"AJ08","ABR017","34","36"
"AJ08","ABR017","41","70"
"AJ10","ABR006","34","33"
"AJ10","ABR006","41","59"
"AJ11","ABR001","34","36"
"AJ11","ABR001","41","59"
"MY10","UPL001","34","34"
"MY10","UPL001","41","43"
"MY11","MYR071","34","29"
"MY11","MYR071","41","38"
"MY12","MIB001","34","11"
"MY12","MIB001","41","19"
"MY13","MWRA070","34","20"
"MY13","MWRA070","41","18"
"MY14","MWRA172","34","25"
"MY15","MWRA061","41","28"
"MY16A","MYR39","41","37"
"MY17A","MAR036","41","19"
"MY18","MWRA059","41","126"
"HB01","HAB0015","34","75"
"HB01","HAB0015","41","91"
"HB02","HB02","34","18"
"HB02","HB02","41","24"
"AJT02","SWBB","34","13"
"AJT02","SWBB","41","19"
"AJT03","HOB103","41","18"
"AJT04","SHBTRIB","41","22"
"AJT05","CUBLEX","41","22"
"HBT01","HBT01","34","25"
"HBT01","HBT01","41","14"
"HBT02","HBT02","34","1000"
"HBT02","HBT02","41","378"
"HBT03","HBT03","34","43"
"HBT03","HBT03","41","386"
"HBT05","HBT05","34","450"
"HBT05","HBT05","41","236"
"HBT06","HBT06","34","32"
"HBT06","HBT06","41","89"
"HBT07","HBT07","34","175"
"HBT07","HBT07","41","26"
"HBT08","HBT08","34","225"
"HBT08","HBT08","41","184"
