"OriginalLocationID","LocationID","Datetime","ARSENIC DATA"
"AJ01","AJ01","13-May","0.006"
"AJ01","AJ01","28-Oct","0.005"
"AJ01","AJ01","26-Feb","0"
"AJ02","ABRN01","13-May","0.013"
"AJ02","ABRN01","28-Oct","0.006"
"AJ02","ABRN01","26-Feb","0"
"AJ02","ABRN01","29-Jul","0.01"
"AJ03","ABR070","13-May","0.011"
"AJ03","ABR070","28-Oct","0"
"AJ03","ABR070","26-Feb","0"
"AJ04","HAB001","13-May","0.001"
"AJ04","HAB001","28-Oct","0.002"
"AJ04","HAB001","26-Feb","0.004"
"AJ05","ABR049","13-May","0.011"
"AJ05","ABR049","28-Oct","0.006"
"AJ05","ABR049","26-Feb","0.003"
"AJ06","ABR036","13-May","0.006"
"AJ06","ABR036","28-Oct","0.005"
"AJ06","ABR036","26-Feb","0.003"
"AJ07","ABR028","13-May","0.001"
"AJ07","ABR028","28-Oct","0.005"
"AJ07","ABR028","26-Feb","0.003"
"AJ08","ABR017","13-May","0.006"
"AJ08","ABR017","28-Oct","0.005"
"AJ08","ABR017","26-Feb","0.003"
"AJ10","ABR006","13-May","0.004"
"AJ10","ABR006","28-Oct","0.003"
"AJ11","ABR001","13-May","0.004"
"AJ11","ABR001","26-Feb","0"
"MY10","UPL001","13-May","0.002"
"MY10","UPL001","28-Oct","0"
"MY10","UPL001","26-Feb","0"
"MY11","MYR071","13-May","0.003"
"MY11","MYR071","28-Oct","0"
"MY11","MYR071","26-Feb","0.007"
"MY12","MIB001","13-May","0.002"
"MY12","MIB001","28-Oct","0"
"MY12","MIB001","26-Feb","0"
"MY13","MWRA070","13-May","0.008"
"MY13","MWRA070","28-Oct","0.003"
"MY13","MWRA070","26-Feb","0.002"
"MY15","MWRA061","13-May","0.009"
"MY15","MWRA061","28-Oct","0.002"
"MY15","MWRA061","26-Feb","0"
"MY16A","MYR39","26-Feb","0"
"MY17A","MAR036","28-Oct","0"
"MY17A","MAR036","26-Feb","0"
"MY18","MWRA059","28-Oct","0"
"MY18","MWRA059","26-Feb","0.003"
"HB01","HAB0015","13-May","0.007"
"HB01","HAB0015","28-Oct","0.01"
"HB01","HAB0015","26-Feb","0.006"
"HB01","HAB0015","29-Jul","0.008"
"HB02","HB02","13-May","0.002"
"HB02","HB02","28-Oct","0"
"HB02","HB02","26-Feb","0.007"
"HB02","HB02","29-Jul","0.002"
"AJT02","SWBB","13-May","0.001"
"AJT02","SWBB","28-Oct","0"
"AJT02","SWBB","26-Feb","0"
"AJT03","HOB103","28-Oct","0.005"
"AJT03","HOB103","26-Feb","0"
"AJT04","SHBTRIB","28-Oct","0"
"AJT04","SHBTRIB","26-Feb","0"
"AJT04","SHBTRIB","28-Oct","0"
"AJT04","SHBTRIB","26-Feb","0"
"HBT01","HBT01","13-May","0.005"
"HBT01","HBT01","28-Oct","0.005"
"HBT01","HBT01","26-Feb","0.008"
"HBT01","HBT01","29-Jul","0.011"
"HBT02","HBT02","13-May","0.015"
"HBT02","HBT02","28-Oct","0.007"
"HBT02","HBT02","26-Feb","0.002"
"HBT02","HBT02","29-Jul","0.005"
"HBT03","HBT03","13-May","0.002"
"HBT03","HBT03","28-Oct","0.003"
"HBT03","HBT03","26-Feb","0.002"
"HBT05","HBT05","13-May","0.009"
"HBT05","HBT05","28-Oct","0.009"
"HBT05","HBT05","26-Feb","0.004"
"HBT05","HBT05","29-Jul","0.014"
"HBT06","HBT06","13-May","0.01"
"HBT06","HBT06","28-Oct","0.005"
"HBT06","HBT06","26-Feb","0.004"
"HBT06","HBT06","29-Jul","0.018"
"HBT07","HBT07","13-May","0.003"
"HBT07","HBT07","28-Oct","0"
"HBT07","HBT07","26-Feb","0"
"HBT08","HBT08","13-May","0.015"
"HBT08","HBT08","28-Oct","0.003"
"HBT08","HBT08","26-Feb","0.002"
"HBT08","HBT08","29-Jul","0.018"
