TABLE 19,,,,
MYSTIC RIVER BASIN SURVEY,,,,
BARIUM DATA (mg/1),,,,
1 9 8 0     1 9 8 1                1 9 8 0     1 9 8 1,,,,
STATION,5/13/80,10/28/80,2/26/81,7/29/81
AJ01,0.03,0.02,0,
AJ02,0.03,0.021,0,0.01
AJ03,0.03,0.017,0,0.01
AJ04,0.04,0.021,0,0.02
AJ05,0.03,0.013,0,0.01
AJ06,0.033,0.017,0,0.01
AJ07,0.04,0.017,0,0.02
AJ08,0.03,0.013,0,0
AJ09,0.04,,0,0.02
AJ10,0.04,0.02,,0.03
AJ11,0.05,,0,0.03
MY10,0.04,0.029,0,0.03
MY11,0.03,0.038,0.02,0.03
MY12,0.02,0.029,0.02,0.03
MY13,0.05,0.033,0.06,0.03
MY14,,,,0.06
MY15,0.09,0.03,0.04,0.03
MY16A,,,0.04,
MY17A,,0.039,0.06,0.03
MY18,,0.025,0.08,0.03
HB01,0.06,0.029,0,0.02
HB02,0.05,0.025,0,0.01
AJT01,0.03,,,
AJT02,0.11,0.017,0.02,0.04
AJT03,,0.025,0,
AJT04,,0.021,0,0.02
AJT05,,0.02,0,0.02
HBT01,0.05,0.004,0,0.02
HBT02,0.2,0.013,0,0.08
HBT03,0.03,0.019,0,
HBT04,,,0,0.03
HBT05,0.1,0.029,0,0.06
HBT06,0.1,0.021,0,0.05
HBT07,0.11,0.154,0,
HBT08,0.08,0.133,0,0.05
