LocationID,Datetime,TEMP_WATER,DO,DO_SAT
AJ01,12/12/79 11:50,51,11,100
AJ01,5/13/80 11:45,64,8.8,92
AJ01,10/28/80 11:55,41,6.5,51
AJ01,2/26/81 12:20,40,11.2,86
AJ02,6/27/79 11:36,73,4.8,55
AJ02,8/6/79 13:35,76,2.6,31
AJ02,12/12/79 11:30,49,10.5,92
AJ02,5/13/80 11:25,63,7.7,82
AJ02,10/28/80 11:52,42,7.1,56
AJ02,2/26/81 12:10,38,11.6,87
AJ02,7/29/81 12:45,68,6.6,72
AJ03,6/27/79 11:29,75,9.5,114
AJ03,8/6/79 13:30,85,9.4,125
AJ03,12/12/79 11:30,49,13.4,117
AJ03,5/13/80 11:35,63,9.8,102
AJ03,10/28/80 11:40,45,9.2,76
AJ03,2/26/81 12:00,38,11.6,87
AJ03,7/29/81 12:35,72,7.6,86
AJ04,6/27/79 11:50,70,7.4,84
AJ04,8/6/79 12:45,79,6.8,85
AJ04,12/12/79 11:22,46,9.9,83
AJ04,5/13/80 11:03,63,7.9,82
AJ04,10/28/80 12:00,44,8.8,72
AJ04,2/26/81 11:50,35,12.2,88
AJ04,7/29/81 12:25,70,6.1,68
AJ05,6/27/79 11:11,68,5.2,58
AJ05,8/6/79 14:15,76,6.3,76
AJ05,12/12/79 12:06,49,9.4,82
AJ05,5/13/80 11:55,63,6,63
AJ05,10/28/80 11:10,41,6,49
AJ05,2/26/81 11:40,39,10.9,83
AJ05,7/29/81 12:15,68,4.4,48
AJ06,6/27/79 10:56,65,5.9,63
AJ06,8/6/79 14:25,75,6.2,74
AJ06,12/12/79 12:28,48,10.2,88
AJ06,5/13/80 12:20,63,6.5,67
AJ06,10/28/80 11:00,43,8.5,69
AJ06,2/26/81 11:05,39,10.6,80
AJ06,7/29/81 11:30,67,6,65
AJ07,6/27/79 10:42,64,5.9,63
AJ07,8/6/79 14:40,76,5.2,63
AJ07,12/12/79 13:03,48,11.3,98
AJ07,5/13/80 13:05,61,6.7,68
AJ07,10/28/80 10:45,45,8.2,68
AJ07,2/26/81 10:50,39,11.3,86
AJ07,7/29/81 11:22,68,6.6,72
AJ08,6/27/79 10:33,66,4.8,52
AJ08,8/6/79 14:47,80,5.2,66
AJ08,12/12/79 13:13,50,10.8,97
AJ08,5/13/80 13:13,61,6.8,69
AJ08,10/28/80 10:35,45,8.3,69
AJ08,2/26/81 10:50,37,11.3,83
AJ08,7/29/81 11:15,68,5.3,58
AJ09,6/27/79 10:24,71,9.7,111
AJ09,8/6/79 14:45,85,9.1,121
AJ09,12/12/79 13:20,50,12.3,111
AJ09,5/13/80 13:32,64,10.8,114
AJ09,10/28/80 10:11,45,6,50
AJ09,2/26/81 10:20,39,11,83
AJ09,7/29/81 10:45,75,6.7,78
