TABLE 21,,,,
MYSTIC RIVER BASIN SURVEY,,,,
CHROMIUM DATA (mg/1),,,,
1 9 8 0     1 9 8 1             1 9 8 0      1 9 8 1,,,,
STATION,5/13/80,10/28/80,2/26/81,7/29/81
AJ01,0,0,0,
AJ02,0,0,0,0.01
AJ03,0,0,0,0
AJ04,0,0,0.01,0.01
AJ05,0,0.01,0,0.02
AJ06,0,0,0,
AJ07,0,0,0,
AJ08,0,0,0.01,
AJ09,0,,0,
AJ10,0,0,,
AJ11,0,,0,
MY10,0,0,0,
MY11,0,0,0,
MY12,0,0,0,
MY13,0,0,0.01, 
MY14,0,,,
MY15,,0,0.24,
MY16A,,,0.12,
MY17A,,0,0,
MY18,,0,0,
HB01,0,0.01,0,0.01
HB02,0,0.38,0,0.01
AJT01,0,,,
AJT02,0,0,0,
AJT03,,0,0, 
AJT04,,0,0,
AJT05,,0,0,
HBT01,0,0,0,0
HBT02,0.03,0,0.07,0.02
HBT03,0,0,0.1,
HBT04,,,,0
HBT05,0,0,0.04,0
HBT06,0,0,0,0.01
HBT07,0,0.02,0,
HBT08,0,0,0.02,0
