TABLE 22,,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,,
,,,,,,,,,
,l 9 8 0,,,"COPPER DATA
l 9 8 l",,(mg/l ),l 9 8 0,,l 9 8 l
STATION,5/13/80,10/28/80,2/26/81,7/29/81,,,,,
AJ01,0,0.02,0.01,,,,,,
AJ02,0,0,0.01,0,,,,,
AJ03,0,0.01,0.01,0,,,,,
AJ04,0.02,0.05,0.04,0.01,,,,,
AJ05,0,0.02,0.01,0,,,,,
AJ06,0,0.02,0.01,0.01,,,,,
AJ07,0.02,0.01,0.01,0,,,,,
AJ08,0,0.02,0.01,0,,,,,
AJ09,0,,0.02,0,,,,,
AJ10,0,0,,0.01,,,,,
AJ11,0,,0,0.01,,,,,
MY10,0,0,0,0.01,,,,,
MY11,0,0,0,0.01,,,,,
MY12,0.04,0,0.01,0.02,,,,,
MY13,0.03,0,0.02,0.01,,,,,
MY14,0.04,,,0,,,,,
MY15,,0,0.02,0,,,,,
MY16A,,,0.05,,,,,,
MY17A,,0,0.01,0,,,,,
MY18,,0,0.02,0,,,,,
HB01,0,0.01,0.04,0.01,,,,,
HB02,0.01,0.09,0.02,0.01,,,,,
AJT01,0,,,,,,,,
AJT02,0.04,0.04,0.01,0.01,,,,,
AJT03,,0,0,,,,,,
AJT04,,0,0,0.01,,,,,
AJT05,,0,0,0.01,,,,,
HBT01,0,0,0,0,,,,,
HBT02,0,0.05,0,0.01,,,,,
HBT03,0,0.02,0.01,,,,,,
HBT04,,,,0.01,,,,,
HBT05,0,0.01,0,0,,,,,
HBT06,0,0.02,0.04,0.01,,,,,
HBT07,0,0,0.01,,,,,,
HBT08,0,0.05,0.09,0.01,,,,,
