"OriginalLocationID","LocationID","Datetime","COPPER‡DATA"
"AJ05","ABR049","0.02","0"
"AJ05","ABR049","0.05","0.02"
"AJ05","ABR049","0.04","0.01"
"AJ05","ABR049","0.01","0"
"AJ06","ABR036","0.02","0"
"AJ06","ABR036","0.05","0.02"
"AJ06","ABR036","0.04","0.01"
"AJ06","ABR036","0.01","0.01"
"AJ07","ABR028","0.02","0.02"
"AJ07","ABR028","0.05","0.01"
"AJ07","ABR028","0.04","0.01"
"AJ07","ABR028","0.01","0"
"AJ08","ABR017","0.02","0"
"AJ08","ABR017","0.05","0.02"
"AJ08","ABR017","0.04","0.01"
"AJ08","ABR017","0.01","0"
"AJ10","ABR006","0.02","0"
"AJ10","ABR006","0.05","0"
"AJ10","ABR006","0.01","0.01"
"AJ11","ABR001","0.02","0"
"AJ11","ABR001","0.04","0"
"AJ11","ABR001","0.01","0.01"
"MY10","UPL001","0.02","0"
"MY10","UPL001","0.05","0"
"MY10","UPL001","0.04","0"
"MY10","UPL001","0.01","0.01"
"MY11","MYR071","0.02","0"
"MY11","MYR071","0.05","0"
"MY11","MYR071","0.04","0"
"MY11","MYR071","0.01","0.01"
"MY12","MIB001","0.02","0.04"
"MY12","MIB001","0.05","0"
"MY12","MIB001","0.04","0.01"
"MY12","MIB001","0.01","0.02"
"MY13","MWRA070","0.02","0.03"
"MY13","MWRA070","0.05","0"
"MY13","MWRA070","0.04","0.02"
"MY13","MWRA070","0.01","0.01"
"MY14","MWRA172","0.02","0.04"
"MY14","MWRA172","0.01","0"
"MY15","MWRA061","0.05","0"
"MY15","MWRA061","0.04","0.02"
"MY15","MWRA061","0.01","0"
"MY16A","MYR39","0.04","0.05"
"MY17A","MAR036","0.05","0"
"MY17A","MAR036","0.04","0.01"
"MY17A","MAR036","0.01","0"
"MY18","MWRA059","0.05","0"
"MY18","MWRA059","0.04","0.02"
"MY18","MWRA059","0.01","0"
"HB01","HAB0015","0.02","0"
"HB01","HAB0015","0.05","0.01"
"HB01","HAB0015","0.04","0.04"
"HB01","HAB0015","0.01","0.01"
"HB02","HB02","0.02","0.01"
"HB02","HB02","0.05","0.09"
"HB02","HB02","0.04","0.02"
"HB02","HB02","0.01","0.01"
"AJT02","SWBB","0.02","0.04"
"AJT02","SWBB","0.05","0.04"
"AJT02","SWBB","0.04","0.01"
"AJT02","SWBB","0.01","0.01"
"AJT03","HOB103","0.05","0"
"AJT03","HOB103","0.04","0"
"AJT04","SHBTRIB","0.05","0"
"AJT04","SHBTRIB","0.04","0"
"AJT04","SHBTRIB","0.01","0.01"
"AJT05","CUBLEX","0.05","0"
"AJT05","CUBLEX","0.04","0"
"AJT05","CUBLEX","0.01","0.01"
"HBT01","HBT01","0.02","0"
"HBT01","HBT01","0.05","0"
"HBT01","HBT01","0.04","0"
"HBT01","HBT01","0.01","0"
"HBT02","HBT02","0.02","0"
"HBT02","HBT02","0.05","0.05"
"HBT02","HBT02","0.04","0"
"HBT02","HBT02","0.01","0.01"
"HBT03","HBT03","0.02","0"
"HBT03","HBT03","0.05","0.02"
"HBT03","HBT03","0.04","0.01"
"HBT05","HBT05","0.02","0"
"HBT05","HBT05","0.05","0.01"
"HBT05","HBT05","0.04","0"
"HBT05","HBT05","0.01","0"
"HBT06","HBT06","0.02","0"
"HBT06","HBT06","0.05","0.02"
"HBT06","HBT06","0.04","0.04"
"HBT06","HBT06","0.01","0.01"
"HBT07","HBT07","0.02","0"
"HBT07","HBT07","0.05","0"
"HBT07","HBT07","0.04","0.01"
"HBT08","HBT08","0.02","0"
"HBT08","HBT08","0.05","0.05"
"HBT08","HBT08","0.04","0.09"
"HBT08","HBT08","0.01","0.01"
