TABLE 3,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,
CHEMICAL OXYGEN DEMAND DATA (mg/l),,,,,,,
,,1 9 7 9,,1 9 8 0,,1 9 8 1,
STATION,6/27/79,8/6/79,12/12/79,5/13/80,10/28/80,2/26/81,7/29/81
AJ01,,139,73,61,29,30,
AJ02,105,108,77,43,49,59,33
AJ03,43,25,87,52,29,63,33
AJ04,67,25,82,30,20,77,33
AJ05,76,20,44,48,34,68,29
AJ06,,30,44,38,49,68,39
AJ07,,,58,61,63,73,34
AJ08,,,44,48,58,68,25
AJ09,,,48,43,,55,44
AJ10,,,58,43,59,55,39
AJ11,,,58,26,,41,34
MY10,3.9,,48,26,49,41,44
MY11,7.5,,33,47,49,32,25
MY12,3.3,,48,51,44,45,44
MY13,9.3,,,68,54,32,25
MY14,,,,77,,,44
MY15,8.1,,,,49,68,39
MY16A,,,,,,91,
MY17A,4.5,,,,54,68,74
MY18,,,,,112,59,108
HB01,71,51,58,69,44,71,38
HB02,57,25,58,130,34,80,22
AJT01,,,48,43,,,
