"LocationID","Datetime","Chem Oxy DD"
"AJ01","8/6/1979","139"
"AJ01","12/12/1979","73"
"AJ01","5/13/1980","61"
"AJ01","10/28/1980","29"
"AJ01","2/26/1981","30"
"AJ02","6/27/1979","105"
"AJ02","8/6/1979","108"
"AJ02","12/12/1979","77"
"AJ02","5/13/1980","43"
"AJ02","10/28/1980","49"
"AJ02","2/26/1981","59"
"AJ02","7/29/1981","33"
"AJ03","6/27/1979","43"
"AJ03","8/6/1979","25"
"AJ03","12/12/1979","87"
"AJ03","5/13/1980","52"
"AJ03","10/28/1980","29"
"AJ03","2/26/1981","63"
"AJ03","7/29/1981","33"
"AJ04","6/27/1979","67"
"AJ04","8/6/1979","25"
"AJ04","12/12/1979","82"
"AJ04","5/13/1980","30"
"AJ04","10/28/1980","20"
"AJ04","2/26/1981","77"
"AJ04","7/29/1981","33"
"AJ05","6/27/1979","76"
"AJ05","8/6/1979","20"
"AJ05","12/12/1979","44"
"AJ05","5/13/1980","48"
"AJ05","10/28/1980","34"
"AJ05","2/26/1981","68"
"AJ05","7/29/1981","29"
"AJ06","8/6/1979","30"
"AJ06","12/12/1979","44"
"AJ06","5/13/1980","38"
"AJ06","10/28/1980","49"
"AJ06","2/26/1981","68"
"AJ06","7/29/1981","39"
"AJ07","12/12/1979","58"
"AJ07","5/13/1980","61"
"AJ07","10/28/1980","63"
"AJ07","2/26/1981","73"
"AJ07","7/29/1981","34"
"AJ08","12/12/1979","44"
"AJ08","5/13/1980","48"
"AJ08","10/28/1980","58"
"AJ08","2/26/1981","68"
"AJ08","7/29/1981","25"
"AJ09","12/12/1979","48"
"AJ09","5/13/1980","43"
"AJ09","2/26/1981","55"
"AJ09","7/29/1981","44"
"AJ10","12/12/1979","58"
"AJ10","5/13/1980","43"
"AJ10","10/28/1980","59"
"AJ10","2/26/1981","55"
"AJ10","7/29/1981","39"
"AJ11","12/12/1979","58"
"AJ11","5/13/1980","26"
"AJ11","2/26/1981","41"
"AJ11","7/29/1981","34"
"MY10","6/27/1979","3.9"
"MY10","12/12/1979","48"
"MY10","5/13/1980","26"
"MY10","10/28/1980","49"
"MY10","2/26/1981","41"
"MY10","7/29/1981","44"
"MY11","6/27/1979","7.5"
"MY11","12/12/1979","33"
"MY11","5/13/1980","47"
"MY11","10/28/1980","49"
"MY11","2/26/1981","32"
"MY11","7/29/1981","25"
"MY12","6/27/1979","3.3"
"MY12","12/12/1979","48"
"MY12","5/13/1980","51"
"MY12","10/28/1980","44"
"MY12","2/26/1981","45"
"MY12","7/29/1981","44"
"MY13","6/27/1979","9.3"
"MY13","5/13/1980","68"
"MY13","10/28/1980","54"
"MY13","2/26/1981","32"
"MY13","7/29/1981","25"
"MY14","5/13/1980","77"
"MY14","7/29/1981","44"
"MY15","6/27/1979","8.1"
"MY15","10/28/1980","49"
"MY15","2/26/1981","68"
"MY15","7/29/1981","39"
"MY16A","2/26/1981","91"
"MY17A","6/27/1979","4.5"
"MY17A","10/28/1980","54"
"MY17A","2/26/1981","68"
"MY17A","7/29/1981","74"
"MY18","10/28/1980","112"
"MY18","2/26/1981","59"
"MY18","7/29/1981","108"
"HB01","6/27/1979","71"
"HB01","8/6/1979","51"
"HB01","12/12/1979","58"
"HB01","5/13/1980","69"
"HB01","10/28/1980","44"
"HB01","2/26/1981","71"
"HB01","7/29/1981","38"
"HB02","6/27/1979","57"
"HB02","8/6/1979","25"
"HB02","12/12/1979","58"
"HB02","5/13/1980","130"
"HB02","10/28/1980","34"
"HB02","2/26/1981","80"
"HB02","7/29/1981","22"
"AJT01","12/12/1979","48"
"AJT01","5/13/1980","43"
"AJT02","12/12/79","34"
"AJT02","5/13/80","98"
"AJT02","10/28/80","351"
"AJT02","2/26/81","73"
"AJT02","7/29/81","34"
"AJT03","10/28/80","49"
"AJT03","2/26/81","45"
"AJT04","10/28/80","54"
"AJT04","2/26/81","45"
"AJT04","7/29/81","20"
"AJT05","10/28/80","137"
"AJT05","2/26/81","55"
"AJT05","7/29/81","20"
"HBT01","6/27/79","52"
"HBT01","12/12/79","77"
"HBT01","5/13/80","22"
"HBT01","10/28/80","49"
"HBT01","2/26/81","35"
"HBT01","7/29/81","33"
"HBT02","6/27/79","128"
"HBT02","12/12/79","174"
"HBT02","5/13/80","39"
"HBT02","10/28/80","137"
"HBT02","2/26/81","115"
"HBT02","7/29/81","235"
"HBT03","5/13/80","195"
"HBT03","10/28/80","103"
"HBT03","2/26/81","93"
"HBT04","2/26/81","13"
"HBT04","7/29/81","33"
"HBT05","6/27/79","4.8"
"HBT05","12/12/79","121"
"HBT05","5/13/80","65"
"HBT05","10/28/80","93"
"HBT05","2/26/81","53"
"HBT05","7/29/81","98"
"HBT06","6/27/79","3.6"
"HBT06","12/12/79","97"
"HBT06","5/13/80","39"
"HBT06","10/28/80","98"
"HBT06","2/26/81","62"
"HBT06","7/29/81","55"
"HBT07","5/13/80","30"
"HBT07","10/28/80","49"
"HBT07","2/26/81","31"
"HBT08","6/27/79","4.2"
"HBT08","12/12/79","121"
"HBT08","5/13/80","117"
"HBT08","10/28/80","58"
"HBT08","2/26/81","26"
"HBT08","7/29/81","60"
