"OriginalLocationID","LocationID","Datetime","CHEMICAL OXYGEN DEMAND DATA"
"AJ01","AJ01","8/6/79","139"
"AJ01","AJ01","12/12/79","73"
"AJ01","AJ01","5/13/80","61"
"AJ01","AJ01","10/28/80","29"
"AJ01","AJ01","2/26/81","30"
"AJ02","ABRN01","6/27/79","105"
"AJ02","ABRN01","8/6/79","108"
"AJ02","ABRN01","12/12/79","77"
"AJ02","ABRN01","5/13/80","43"
"AJ02","ABRN01","10/28/80","49"
"AJ02","ABRN01","2/26/81","59"
"AJ02","ABRN01","7/29/81","33"
"AJ03","ABR070","6/27/79","43"
"AJ03","ABR070","8/6/79","25"
"AJ03","ABR070","12/12/79","87"
"AJ03","ABR070","5/13/80","52"
"AJ03","ABR070","10/28/80","29"
"AJ03","ABR070","2/26/81","63"
"AJ03","ABR070","7/29/81","33"
"AJ04","HAB001","6/27/79","67"
"AJ04","HAB001","8/6/79","25"
"AJ04","HAB001","12/12/79","82"
"AJ04","HAB001","5/13/80","30"
"AJ04","HAB001","10/28/80","20"
"AJ04","HAB001","2/26/81","77"
"AJ04","HAB001","7/29/81","33"
"AJ05","ABR049","6/27/79","76"
"AJ05","ABR049","8/6/79","20"
"AJ05","ABR049","12/12/79","44"
"AJ05","ABR049","5/13/80","48"
"AJ05","ABR049","10/28/80","34"
"AJ05","ABR049","2/26/81","68"
"AJ05","ABR049","7/29/81","29"
"AJ06","ABR036","8/6/79","30"
"AJ06","ABR036","12/12/79","44"
"AJ06","ABR036","5/13/80","38"
"AJ06","ABR036","10/28/80","49"
"AJ06","ABR036","2/26/81","68"
"AJ06","ABR036","7/29/81","39"
"AJ07","ABR028","12/12/79","58"
"AJ07","ABR028","5/13/80","61"
"AJ07","ABR028","10/28/80","63"
"AJ07","ABR028","2/26/81","73"
"AJ07","ABR028","7/29/81","34"
"AJ08","ABR017","12/12/79","44"
"AJ08","ABR017","5/13/80","48"
"AJ08","ABR017","10/28/80","58"
"AJ08","ABR017","2/26/81","68"
"AJ08","ABR017","7/29/81","25"
"AJ10","ABR006","12/12/79","58"
"AJ10","ABR006","5/13/80","43"
"AJ10","ABR006","10/28/80","59"
"AJ10","ABR006","2/26/81","55"
"AJ10","ABR006","7/29/81","39"
"AJ11","ABR001","12/12/79","58"
"AJ11","ABR001","5/13/80","26"
"AJ11","ABR001","2/26/81","41"
"AJ11","ABR001","7/29/81","34"
"MY10","UPL001","6/27/79","3.9"
"MY10","UPL001","12/12/79","48"
"MY10","UPL001","5/13/80","26"
"MY10","UPL001","10/28/80","49"
"MY10","UPL001","2/26/81","41"
"MY10","UPL001","7/29/81","44"
"MY11","MYR071","6/27/79","7.5"
"MY11","MYR071","12/12/79","33"
"MY11","MYR071","5/13/80","47"
"MY11","MYR071","10/28/80","49"
"MY11","MYR071","2/26/81","32"
"MY11","MYR071","7/29/81","25"
"MY12","MIB001","6/27/79","3.3"
"MY12","MIB001","12/12/79","48"
"MY12","MIB001","5/13/80","51"
"MY12","MIB001","10/28/80","44"
"MY12","MIB001","2/26/81","45"
"MY12","MIB001","7/29/81","44"
"MY13","MWRA070","6/27/79","9.3"
"MY13","MWRA070","5/13/80","68"
"MY13","MWRA070","10/28/80","54"
"MY13","MWRA070","2/26/81","32"
"MY13","MWRA070","7/29/81","25"
"MY14","MWRA172","5/13/80","77"
"MY14","MWRA172","7/29/81","44"
"MY15","MWRA061","6/27/79","8.1"
"MY15","MWRA061","10/28/80","49"
"MY15","MWRA061","2/26/81","68"
"MY15","MWRA061","7/29/81","39"
"MY16A","MYR39","2/26/81","91"
"MY17A","MAR036","6/27/79","4.5"
"MY17A","MAR036","10/28/80","54"
"MY17A","MAR036","2/26/81","68"
"MY17A","MAR036","7/29/81","74"
"MY18","MWRA059","10/28/80","112"
"MY18","MWRA059","2/26/81","59"
"MY18","MWRA059","7/29/81","108"
"HB01","HAB0015","6/27/79","71"
"HB01","HAB0015","8/6/79","51"
"HB01","HAB0015","12/12/79","58"
