"OriginalLocationID","LocationID","Datetime","FIVE-DAY BIOCHEMICAL OXYGEN DEMAND"
"AJ01","AJ01","8/6/79","16"
"AJ01","AJ01","12/12/79","4.5"
"AJ01","AJ01","5/13/80","3.6"
"AJ01","AJ01","10/29/80","4.5"
"AJ01","AJ01","2/26/81","1.6"
"AJ02","ABRN01","6/27/79","1.2"
"AJ02","ABRN01","8/6/79","29"
"AJ02","ABRN01","12/12/79","5.1"
"AJ02","ABRN01","5/13/80","3.6"
"AJ02","ABRN01","10/29/80","4.2"
"AJ02","ABRN01","2/26/81","1"
"AJ02","ABRN01","7/29/81","6.9"
"AJ03","ABR070","6/27/79","5.7"
"AJ03","ABR070","8/6/79","2.1"
"AJ03","ABR070","12/12/79","0.9"
"AJ03","ABR070","5/13/80","7.2"
"AJ03","ABR070","10/29/80","4.8"
"AJ03","ABR070","2/26/81","0.6"
"AJ03","ABR070","7/29/81","6"
"AJ04","HAB001","6/27/79","3.6"
"AJ04","HAB001","8/6/79","2.7"
"AJ04","HAB001","12/12/79","2.1"
"AJ04","HAB001","5/13/80","3.3"
"AJ04","HAB001","10/29/80","4.5"
"AJ04","HAB001","2/26/81","3"
"AJ04","HAB001","7/29/81","8.1"
"AJ05","ABR049","6/27/79","4.5"
"AJ05","ABR049","8/6/79","3.3"
"AJ05","ABR049","12/12/79","5.1"
"AJ05","ABR049","5/13/80","3"
"AJ05","ABR049","10/29/80","3"
"AJ05","ABR049","2/26/81","1.5"
"AJ05","ABR049","7/29/81","4.5"
"AJ06","ABR036","6/27/79","3.6"
"AJ06","ABR036","8/6/79","5.1"
"AJ06","ABR036","12/12/79","0.3"
"AJ06","ABR036","5/13/80","2.4"
"AJ06","ABR036","10/29/80","4.2"
"AJ06","ABR036","2/26/81","4.5"
"AJ06","ABR036","7/29/81","11"
"AJ07","ABR028","6/27/79","8.1"
"AJ07","ABR028","8/6/79","6.6"
"AJ07","ABR028","12/12/79","2.1"
"AJ07","ABR028","5/13/80","11"
"AJ07","ABR028","10/29/80","6.9"
"AJ07","ABR028","2/26/81","1.5"
"AJ07","ABR028","7/29/81","14"
"AJ08","ABR017","6/27/79","7.5"
"AJ08","ABR017","8/6/79","4.8"
"AJ08","ABR017","12/12/79","1.5"
"AJ08","ABR017","5/13/80","6.3"
"AJ08","ABR017","10/29/80","2.4"
"AJ08","ABR017","2/26/81","4.2"
"AJ08","ABR017","7/29/81","8.4"
"AJ10","ABR006","6/27/79","2.4"
"AJ10","ABR006","8/6/79","2.1"
"AJ10","ABR006","12/12/79","1.8"
"AJ10","ABR006","5/13/80","3.6"
"AJ10","ABR006","10/29/80","3.9"
"AJ10","ABR006","2/26/81","4.5"
"AJ10","ABR006","7/29/81","6.9"
"AJ11","ABR001","12/12/79","2.7"
"AJ11","ABR001","5/13/80","1.8"
"AJ11","ABR001","2/26/81","3.9"
"AJ11","ABR001","7/29/81","7.2"
"MY10","UPL001","8/6/79","5.7"
"MY10","UPL001","12/12/79","1.8"
"MY10","UPL001","5/13/80","2.4"
"MY10","UPL001","10/29/80","2.1"
"MY10","UPL001","2/26/81","2.7"
"MY10","UPL001","7/29/81","9.6"
"MY11","MYR071","8/6/79","3.6"
"MY11","MYR071","12/12/79","2.1"
"MY11","MYR071","5/13/80","6"
"MY11","MYR071","10/29/80","24"
"MY11","MYR071","2/26/81","2.7"
"MY11","MYR071","7/29/81","6"
"MY12","MIB001","8/6/79","2.4"
"MY12","MIB001","12/12/79","1.8"
"MY12","MIB001","5/13/80","6"
"MY12","MIB001","10/29/80","2.4"
"MY12","MIB001","2/26/81","3.6"
"MY12","MIB001","7/29/81","7.5"
"MY13","MWRA070","8/6/79","6.6"
"MY13","MWRA070","5/13/80","17"
"MY13","MWRA070","10/29/80","5.4"
"MY13","MWRA070","2/26/81","8.7"
"MY13","MWRA070","7/29/81","9.3"
"MY14","MWRA172","5/13/80","17"
"MY14","MWRA172","7/29/81","8.7"
"MY15","MWRA061","8/6/79","4.8"
"MY15","MWRA061","10/29/80","2.1"
"MY15","MWRA061","2/26/81","3.9"
"MY15","MWRA061","7/29/81","11"
"MY16A","MYR39","2/26/81","58"
"MY17A","MAR036","8/6/79","9.6"
"MY17A","MAR036","10/29/80","3.6"
"MY17A","MAR036","2/26/81","11"
"MY17A","MAR036","7/29/81","9"
"MY18","MWRA059","6/27/79","6.9"
"MY18","MWRA059","8/6/79","8.4"
"MY18","MWRA059","10/29/80","4.5"
"MY18","MWRA059","2/26/81","6.3"
"MY18","MWRA059","7/29/81","9"
"HB01","HAB0015","6/27/79","2.1"
"HB01","HAB0015","8/6/79","2.1"
"HB01","HAB0015","12/12/79","1.8"
"HB01","HAB0015","5/13/80","3.3"
"HB01","HAB0015","10/29/80","4.8"
"HB01","HAB0015","2/26/81","1.3"
"HB01","HAB0015","7/29/81","6"
"HB02","HB02","6/27/79","1.8"
"HB02","HB02","8/6/79","0.9"
"HB02","HB02","12/12/79","0.3"
"HB02","HB02","5/13/80","1.5"
"HB02","HB02","10/29/80","4.2"
"HB02","HB02","2/26/81","1.5"
"HB02","HB02","7/29/81","3.6"
"AJT02","SWBB","6/27/79","26"
"AJT02","SWBB","8/6/79","2.7"
"AJT02","SWBB","12/12/79","0.9"
"AJT02","SWBB","5/13/80","44"
"AJT02","SWBB","10/28/80","87"
"AJT02","SWBB","2/26/81","5.1"
"AJT02","SWBB","7/29/81","11"
"AJT03","HOB103","10/28/80","7.2"
"AJT03","HOB103","2/26/81","1.8"
"AJT04","SHBTRIB","10/28/80","4.5"
"AJT04","SHBTRIB","2/26/81","3"
"AJT04","SHBTRIB","7/29/81","2.1"
"AJT05","CUBLEX","10/28/80","1.5"
"AJT05","CUBLEX","2/26/81","3.3"
"AJT05","CUBLEX","7/29/81","2.4"
"HBT01","HBT01","6/27/79","19"
"HBT01","HBT01","12/12/79","34"
"HBT01","HBT01","5/13/80","10"
"HBT01","HBT01","10/28/80","22"
"HBT01","HBT01","2/26/81","7.8"
"HBT01","HBT01","7/29/81","17"
"HBT02","HBT02","6/27/79","6.3"
"HBT02","HBT02","12/12/79","11"
"HBT02","HBT02","5/13/80","9.6"
"HBT02","HBT02","10/28/80","9.3"
"HBT02","HBT02","2/26/81","16"
"HBT02","HBT02","7/29/81","8.4"
"HBT03","HBT03","5/13/80","6.3"
"HBT03","HBT03","10/28/80","5.7"
"HBT03","HBT03","2/26/81","4"
"HBT05","HBT05","6/27/79","4.8"
"HBT05","HBT05","8/6/79","6.9"
