"OriginalLocationID","LocationID","Datetime","pH DATA"
"AJ02","ABRN01","8.1","8.2"
"AJ02","ABRN01","7.7","7.8"
"AJ02","ABRN01","7.4","7.3"
"AJ02","ABRN01","7","7.3"
"AJ02","ABRN01","6.8","6.9"
"AJ03","ABR070","8.1","7.6"
"AJ03","ABR070","7.7","7.5"
"AJ03","ABR070","7.4","7.3"
"AJ03","ABR070","7","6.8"
"AJ03","ABR070","6.8","6.7"
"AJ04","HAB001","8.1","8"
"AJ04","HAB001","7.7","7.5"
"AJ04","HAB001","7.4","7.3"
"AJ04","HAB001","7","7.5"
"AJ04","HAB001","6.8","6.7"
"AJ05","ABR049","8.1","7.9"
"AJ05","ABR049","7.7","7.8"
"AJ05","ABR049","7.4","7.4"
"AJ05","ABR049","7","7.1"
"AJ05","ABR049","6.8","6.8"
"AJ06","ABR036","8.1","7.8"
"AJ06","ABR036","7.7","7.6"
"AJ06","ABR036","7.4","7.3"
"AJ06","ABR036","7","7.1"
"AJ06","ABR036","6.8","6.9"
"AJ07","ABR028","8.1","7.9"
"AJ07","ABR028","7.7","7.9"
"AJ07","ABR028","7.4","7.4"
"AJ07","ABR028","7","6.9"
"AJ07","ABR028","6.8","7.5"
"AJ08","ABR017","8.1","7.8"
"AJ08","ABR017","7.7","8"
"AJ08","ABR017","7.4","7.7"
"AJ08","ABR017","7","6.9"
"AJ08","ABR017","6.8","7.4"
"AJ10","ABR006","8.1","7.8"
"AJ10","ABR006","7.7","8"
"AJ10","ABR006","7.4","7.4"
"AJ10","ABR006","7","6.7"
"AJ10","ABR006","6.8","7.3"
"AJ11","ABR001","7.7","7.9"
"AJ11","ABR001","7.4","7.7"
"AJ11","ABR001","6.8","6.4"
"MY10","UPL001","8.1","8.3"
"MY10","UPL001","7.7","7"
"MY10","UPL001","7.4","7.8"
"MY10","UPL001","7","7"
"MY10","UPL001","6.8","6.9"
"MY11","MYR071","8.1","8"
"MY11","MYR071","7.7","7.8"
"MY11","MYR071","7.4","7.5"
"MY11","MYR071","7","7.1"
"MY11","MYR071","6.8","7.2"
"MY12","MIB001","8.1","8.1"
"MY12","MIB001","7.7","7.7"
"MY12","MIB001","7.4","6.9"
"MY12","MIB001","7","7"
"MY12","MIB001","6.8","7"
"MY13","MWRA070","8.1","7.4"
"MY13","MWRA070","7.4","7.2"
"MY13","MWRA070","7","6.9"
"MY13","MWRA070","6.8","6.8"
"MY14","MWRA172","7.4","7.6"
"MY15","MWRA061","8.1","7.5"
"MY15","MWRA061","7","7.2"
"MY15","MWRA061","6.8","7"
"MY16A","MYR39","6.8","7"
"MY17A","MAR036","8.1","7.7"
"MY17A","MAR036","7","6.8"
"MY17A","MAR036","6.8","6.8"
"MY18","MWRA059","8.1","8.5"
"MY18","MWRA059","7","7.3"
"MY18","MWRA059","6.8","6.8"
"HB01","HAB0015","8.1","8"
"HB01","HAB0015","7.7","7.5"
"HB01","HAB0015","7.4","7.4"
"HB01","HAB0015","7","7.1"
"HB01","HAB0015","6.8","6.7"
"HB02","HB02","8.1","7.6"
"HB02","HB02","7.7","7.2"
"HB02","HB02","7.4","7.1"
"HB02","HB02","7","6.9"
"HB02","HB02","6.8","6.5"
"AJT03","HOB103","6.7","7.1"
"AJT03","HOB103","6.7","6.9"
"AJT04","SHBTRIB","6.7","7.1"
"AJT04","SHBTRIB","6.7","6.8"
"AJT04","SHBTRIB","7.7","7.7"
"AJT05","CUBLEX","6.7","6.8"
"AJT05","CUBLEX","6.7","6.9"
"AJT05","CUBLEX","7.7","6.8"
"HBT01","HBT01","7.2","6.6"
"HBT01","HBT01","7.9","6.9"
"HBT01","HBT01","6.9","6.7"
"HBT01","HBT01","6.7","6.3"
"HBT01","HBT01","6.7","6.5"
"HBT01","HBT01","7.7","7.6"
"HBT02","HBT02","7.2","7.6"
"HBT02","HBT02","7.9","7.8"
"HBT02","HBT02","6.9","7.7"
"HBT02","HBT02","6.7","7.2"
"HBT02","HBT02","6.7","5.9"
"HBT02","HBT02","7.7","7.5"
"HBT03","HBT03","6.9","6.9"
"HBT03","HBT03","6.7","6.3"
"HBT03","HBT03","6.7","6.1"
"HBT05","HBT05","7.2","7.2"
"HBT05","HBT05","7.6","7.5"
"HBT05","HBT05","7.9","7.1"
"HBT05","HBT05","6.9","7.3"
"HBT05","HBT05","6.7","6.7"
"HBT05","HBT05","6.7","6.3"
"HBT05","HBT05","7.7","7.6"
"HBT06","HBT06","7.2","7.2"
"HBT06","HBT06","7.6","7.9"
"HBT06","HBT06","7.9","7.3"
"HBT06","HBT06","6.9","7.2"
"HBT06","HBT06","6.7","7"
"HBT06","HBT06","6.7","7.1"
"HBT06","HBT06","7.7","7.5"
"HBT07","HBT07","6.9","7"
"HBT07","HBT07","6.7","6.6"
"HBT07","HBT07","6.7","6.4"
"HBT08","HBT08","7.2","7.6"
"HBT08","HBT08","7.6","8.1"
"HBT08","HBT08","7.9","7.5"
"HBT08","HBT08","6.9","7.3"
"HBT08","HBT08","6.7","7.5"
"HBT08","HBT08","6.7","6.8"
"HBT08","HBT08","7.7","7.6"
