TABLE 7,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,
SUSPENDED SOLIDS DATA (mg/l),,,,,,,
,1 9 7 9,,,1 9 8 0,,1 9 8 1,
STATION,6/27/79,8/6/79,12/12/79,5/13/80,10/28/80,2/26/81,7/29/81
AJ01,,34,7,10,5.5,11,
AJ02,13,17,7,11,6,6,4
AJ03,32,24,5,6.5,7.5,13,3.5
AJ04,8,5.5,3,5,5.5,22,6
AJ05,12,3.5,4,4.5,5,7,1.5
AJ06,6,7.5,4,6.5,3.5,6,10
AJ07,8,8,2.5,44,5.5,15,2.5
AJ08,15,10,3,10,7.5,17,4.5
AJ09,8.5,10,4.5,2.5,,21,9
AJ10,6,4.5,3.5,7.5,4,17,8.5
AJ11,,,4,6,,15,11.5
MY10,7,6.5,1.5,8.5,1.5,2,12.5
MY11,9.5,6,3.5,20,3,5,7.5
MY12,9,2.5,3,24,3.5,21,15
MY13,21,24,,30,11,60,15
MY14,,,,88,,,18.5
MY15,15,7.5,,,6.5,26,12
MY16A,,,,,,42,
MY17A,14,28,,,6.5,55,7
MY18,20,24,,,7,25,17.5
HB01,6,3.5,2,10,4.5,11,3.5
HB02,6.5,9.5,0,1.5,1,4,3
,,,,,22,,
