"OriginalLocationID","LocationID","Datetime","SUSPENDED SOLIDS DATA"
"AJ01","AJ01","8/6/79","34"
"AJ01","AJ01","12/12/79","7"
"AJ01","AJ01","5/13/80","10"
"AJ01","AJ01","10/28/80","5.5"
"AJ01","AJ01","2/26/81","11"
"AJ02","ABRN01","6/27/79","13"
"AJ02","ABRN01","8/6/79","17"
"AJ02","ABRN01","12/12/79","7"
"AJ02","ABRN01","5/13/80","11"
"AJ02","ABRN01","10/28/80","6"
"AJ02","ABRN01","2/26/81","6"
"AJ02","ABRN01","7/29/81","4"
"AJ03","ABR070","6/27/79","32"
"AJ03","ABR070","8/6/79","24"
"AJ03","ABR070","12/12/79","5"
"AJ03","ABR070","5/13/80","6.5"
"AJ03","ABR070","10/28/80","7.5"
"AJ03","ABR070","2/26/81","13"
"AJ03","ABR070","7/29/81","3.5"
"AJ04","HAB001","6/27/79","8"
"AJ04","HAB001","8/6/79","5.5"
"AJ04","HAB001","12/12/79","3"
"AJ04","HAB001","5/13/80","5"
"AJ04","HAB001","10/28/80","5.5"
"AJ04","HAB001","2/26/81","22"
"AJ04","HAB001","7/29/81","6"
"AJ05","ABR049","6/27/79","12"
"AJ05","ABR049","8/6/79","3.5"
"AJ05","ABR049","12/12/79","4"
"AJ05","ABR049","5/13/80","4.5"
"AJ05","ABR049","10/28/80","5"
"AJ05","ABR049","2/26/81","7"
"AJ05","ABR049","7/29/81","1.5"
"AJ06","ABR036","6/27/79","6"
"AJ06","ABR036","8/6/79","7.5"
"AJ06","ABR036","12/12/79","4"
"AJ06","ABR036","5/13/80","6.5"
"AJ06","ABR036","10/28/80","3.5"
"AJ06","ABR036","2/26/81","6"
"AJ06","ABR036","7/29/81","10"
"AJ07","ABR028","6/27/79","8"
"AJ07","ABR028","8/6/79","8"
"AJ07","ABR028","12/12/79","2.5"
"AJ07","ABR028","5/13/80","44"
"AJ07","ABR028","10/28/80","5.5"
"AJ07","ABR028","2/26/81","15"
"AJ07","ABR028","7/29/81","2.5"
"AJ08","ABR017","6/27/79","15"
"AJ08","ABR017","8/6/79","10"
"AJ08","ABR017","12/12/79","3"
"AJ08","ABR017","5/13/80","10"
"AJ08","ABR017","10/28/80","7.5"
"AJ08","ABR017","2/26/81","17"
"AJ08","ABR017","7/29/81","4.5"
"AJ10","ABR006","6/27/79","6"
"AJ10","ABR006","8/6/79","4.5"
"AJ10","ABR006","12/12/79","3.5"
"AJ10","ABR006","5/13/80","7.5"
"AJ10","ABR006","10/28/80","4"
"AJ10","ABR006","2/26/81","17"
"AJ10","ABR006","7/29/81","8.5"
"AJ11","ABR001","12/12/79","4"
"AJ11","ABR001","5/13/80","6"
"AJ11","ABR001","2/26/81","15"
"AJ11","ABR001","7/29/81","11.5"
"MY10","UPL001","6/27/79","7"
"MY10","UPL001","8/6/79","6.5"
"MY10","UPL001","12/12/79","1.5"
"MY10","UPL001","5/13/80","8.5"
"MY10","UPL001","10/28/80","1.5"
"MY10","UPL001","2/26/81","2"
"MY10","UPL001","7/29/81","12.5"
"MY11","MYR071","6/27/79","9.5"
"MY11","MYR071","8/6/79","6"
"MY11","MYR071","12/12/79","3.5"
"MY11","MYR071","5/13/80","20"
"MY11","MYR071","10/28/80","3"
"MY11","MYR071","2/26/81","5"
"MY11","MYR071","7/29/81","7.5"
"MY12","MIB001","6/27/79","9"
"MY12","MIB001","8/6/79","2.5"
"MY12","MIB001","12/12/79","3"
"MY12","MIB001","5/13/80","24"
"MY12","MIB001","10/28/80","3.5"
"MY12","MIB001","2/26/81","21"
"MY12","MIB001","7/29/81","15"
"MY13","MWRA070","6/27/79","21"
"MY13","MWRA070","8/6/79","24"
"MY13","MWRA070","5/13/80","30"
"MY13","MWRA070","10/28/80","11"
"MY13","MWRA070","2/26/81","60"
"MY13","MWRA070","7/29/81","15"
"MY14","MWRA172","5/13/80","88"
"MY14","MWRA172","7/29/81","18.5"
"MY15","MWRA061","6/27/79","15"
"MY15","MWRA061","8/6/79","7.5"
"MY15","MWRA061","10/28/80","6.5"
"MY15","MWRA061","2/26/81","26"
"MY15","MWRA061","7/29/81","12"
"MY16A","MYR39","2/26/81","42"
"MY17A","MAR036","6/27/79","14"
"MY17A","MAR036","8/6/79","28"
"MY17A","MAR036","10/28/80","6.5"
