TABLE 8 (CONTINUED),,,,,,,
,1979,,,1980,,1981,
STATION,6/27/79,8/6/79,12/12/79,5/13/80,10/28/80,2/26/81,7/29/81
AJT01,,,310,230,,,
AJT02,266,270,290,254,392,292,138
AJT03,,,,,200,174,
AJT04,,,,,172,138,128
AJT05,,,,,244,194,176
HBT01,172,,200,190,188,86,244
HBT02,42,,710,1694,862,796,1754
HBT03,,,,230,394,828,
HBT04,,,,,,66,192
HBT05,438,738,640,804,548,3128,696
HBT06,514,606,520,370,560,424,590
HBT07,,,,416,370,76,
HBT08,528,610,570,844,522,360,574
*Not sampled: riverbed was dry during survey period.,,,,,,,
25,,,,,,,
