TABLE NUMBER,TABLE NAME,page
3,CHEMICAL OXYGEN DEMAND DATA,14
4,FIVE-DAY BIOCHEMICAL OXYGEN DEMAND,16
5,pH DATA,18
6,TOTAL ALKALINITY DATA,20
7,SUSPENDED SOLIDS DATA,22
8,TOTAL SOLIDS DATA,24
9,TOTAL KJELDAHL-NITROGEN DATA,26
10,AMMONIA-NITROGEN DATA      ,28
11,NITRATE-NITROGEN DATA  ,30
12,TOTAL PHOSPHORUS DATA  ,32
13,TOTAL COLIFORM BACTERIA DATA,34
14,FECAL COLIFORM BACTERIA DATA,36
15,CHLORIDE DATA,38
16,TOTAL _HARDNESS DATA,40
17,SULFATE DATA,41
18,ARSENIC DATA,42
19,BARIUM DATA,43
20,CADMIUM DATA,44
21,CHROMIUM DATA,45
22,COPPER‡DATA,46
23,IRON DATA,47
24,LEAD DATA,48
25,MANGANESE DATA,49
26,MERCURY DATA,50
27,NICKEL DATA,51
28,SELENIUM DATA,52
29,SILVER DATA,53
30,SODIUM DATA,54
31,VANADIUM DATA,55
32,ZINC DATA,56
33,FLOW DATA,57
