"V1","V2","V3","V4","V5"
"AJ01","AJ01",NA,"12/12/79 11:50","12/12/79"
"AJ01","AJ01",NA,"5/13/80 11:45","5/13/80"
"AJ01","AJ01",NA,"10/28/80 11:55","10/28/80"
"AJ01","AJ01",NA,"2/26/81 12:20","2/26/81"
"AJ02","ABRN01",NA,"6/27/79 11:36","6/27/79"
"AJ02","ABRN01",NA,"8/6/79 13:35","8/6/79"
"AJ02","ABRN01",NA,"12/12/79 11:30","12/12/79"
"AJ02","ABRN01",NA,"5/13/80 11:25","5/13/80"
"AJ02","ABRN01",NA,"10/28/80 11:52","10/28/80"
"AJ02","ABRN01",NA,"2/26/81 12:10","2/26/81"
"AJ02","ABRN01",NA,"7/29/81 12:45","7/29/81"
"AJ03","ABR070",NA,"6/27/79 11:29","6/27/79"
"AJ03","ABR070",NA,"8/6/79 13:30","8/6/79"
"AJ03","ABR070",NA,"12/12/79 11:30","12/12/79"
"AJ03","ABR070",NA,"5/13/80 11:35","5/13/80"
"AJ03","ABR070",NA,"10/28/80 11:40","10/28/80"
"AJ03","ABR070",NA,"2/26/81 12:00","2/26/81"
"AJ03","ABR070",NA,"7/29/81 12:35","7/29/81"
"AJ04","HAB001",NA,"6/27/79 11:50","6/27/79"
"AJ04","HAB001",NA,"8/6/79 12:45","8/6/79"
"AJ04","HAB001",NA,"12/12/79 11:22","12/12/79"
"AJ04","HAB001",NA,"5/13/80 11:03","5/13/80"
"AJ04","HAB001",NA,"10/28/80 12:00","10/28/80"
"AJ04","HAB001",NA,"2/26/81 11:50","2/26/81"
"AJ04","HAB001",NA,"7/29/81 12:25","7/29/81"
"AJ05","ABR049",NA,"6/27/79 11:11","6/27/79"
"AJ05","ABR049",NA,"8/6/79 14:15","8/6/79"
"AJ05","ABR049",NA,"12/12/79 12:06","12/12/79"
"AJ05","ABR049",NA,"5/13/80 11:55","5/13/80"
"AJ05","ABR049",NA,"10/28/80 11:10","10/28/80"
"AJ05","ABR049",NA,"2/26/81 11:40","2/26/81"
"AJ05","ABR049",NA,"7/29/81 12:15","7/29/81"
"AJ06","ABR036",NA,"6/27/79 10:56","6/27/79"
"AJ06","ABR036",NA,"8/6/79 14:25","8/6/79"
"AJ06","ABR036",NA,"12/12/79 12:28","12/12/79"
"AJ06","ABR036",NA,"5/13/80 12:20","5/13/80"
"AJ06","ABR036",NA,"10/28/80 11:00","10/28/80"
"AJ06","ABR036",NA,"2/26/81 11:05","2/26/81"
"AJ06","ABR036",NA,"7/29/81 11:30","7/29/81"
"AJ07","ABR028",NA,"6/27/79 10:42","6/27/79"
"AJ07","ABR028",NA,"8/6/79 14:40","8/6/79"
"AJ07","ABR028",NA,"12/12/79 13:03","12/12/79"
"AJ07","ABR028",NA,"5/13/80 13:05","5/13/80"
"AJ07","ABR028",NA,"10/28/80 10:45","10/28/80"
"AJ07","ABR028",NA,"2/26/81 10:50","2/26/81"
"AJ07","ABR028",NA,"7/29/81 11:22","7/29/81"
"AJ08","ABR017",NA,"6/27/79 10:33","6/27/79"
"AJ08","ABR017",NA,"8/6/79 14:47","8/6/79"
"AJ08","ABR017",NA,"12/12/79 13:13","12/12/79"
"AJ08","ABR017",NA,"5/13/80 13:13","5/13/80"
"AJ08","ABR017",NA,"10/28/80 10:35","10/28/80"
"AJ08","ABR017",NA,"2/26/81 10:50","2/26/81"
"AJ08","ABR017",NA,"7/29/81 11:15","7/29/81"
"AJ10","ABR006",NA,"6/27/79 10:13","6/27/79"
"AJ10","ABR006",NA,"8/6/79 15:00","8/6/79"
"AJ10","ABR006",NA,"12/12/79 13:34","12/12/79"
"AJ10","ABR006",NA,"5/13/80 13:45","5/13/80"
"AJ10","ABR006",NA,"10/28/80 10:05","10/28/80"
"AJ10","ABR006",NA,"2/26/81 10:15","2/26/81"
"AJ10","ABR006",NA,"7/29/81 10:35","7/29/81"
"AJ11","ABR001",NA,"12/12/79 13:50","12/12/79"
"AJ11","ABR001",NA,"2/26/81 10:10","2/26/81"
"AJ11","ABR001",NA,"7/29/81 10:30","7/29/81"
"MY10","UPL001",NA,"6/27/79 10:00","6/27/79"
"MY10","UPL001",NA,"8/6/79 15:08","8/6/79"
"MY10","UPL001",NA,"12/12/79 14:05","12/12/79"
"MY10","UPL001",NA,"5/13/80 14:10","5/13/80"
"MY10","UPL001",NA,"10/28/80 9:57","10/28/80"
"MY10","UPL001",NA,"2/26/81 10:10","2/26/81"
"MY10","UPL001",NA,"7/29/81 10:15","7/29/81"
"MY11","MYR071",NA,"6/27/79 8:33","6/27/79"
"MY11","MYR071",NA,"8/6/79 15:20","8/6/79"
"MY11","MYR071",NA,"12/12/79 14:14","12/12/79"
"MY11","MYR071",NA,"5/13/80 14:40","5/13/80"
"MY11","MYR071",NA,"10/28/80 9:38","10/28/80"
"MY11","MYR071",NA,"2/26/81 10:00","2/26/81"
