Table#,CharacteristicName,CharacteristicID,Units
14,Fecal Coliform,FCOLI,CFU/100ml
,Enterococcus,ENT,CFU/100ml
2,"Dissolved Oxygen, % saturation",DO_SAT,%
2,Dissolved Oxygen,DO,mg/l
30,Salinity,SALINITY,PSU
2,Water Temperature,TEMP_WATER,deg C
12,Total Phosphorus,TP,mg/l
,Orthophosphate,PO4,mg/l
,Nitrate + Nitrite,NO23,mg/l
,Pheophytin a,PHAEOPHYTIN,ug/l
,Secchi Disk Depth,SECCHI,m
,Chlorophyll a,CHLA,ug/l
,Ammonia,NH3,mg/l
,Turbidity,TURB,NTU
5,pH,PH,NA
,Depth,DEPTH,m
,Specific conductance,SPCOND,uS/cm
,Light attenuation coefficient,ATTENUATION_COEFFICIENT,m-1
,Particulate Nitrogen,TPN,mg/l
,"Nitrogen, total dissolved",TDN,mg/l
,Dissolved Phosphorus,TDP,mg/l
,Total Particulate Carbon,TPC,mg/l
,"Phosphorus, Particulate Organic",TPP,mg/l
7,Total suspended solids,TSS,mg/l
,Conductivity,COND,uS/cm
,Total Nitrogen,TN,mg/l
,Escherichia coli,ECOLI,CFU/100ml
,Salinity,SALINITY,ppt
11,Nitrate,NO3,mg/l
,Nitrite,NO2,mg/l
4,Biochemical Oxygen Demand (5 day),BOD5,mg/l
9,Total Kjeldahl Nitrogen,TKN,mg/l
,Enterococcus,ENT,MPN/100ml
,Escherichia coli,ECOLI,MPN/100ml
,Petroleum Hydrocarbon Identification,TPH_PHI,mg/l
,"Surfactants, anionic",SURF_ANIONIC,mg/l
,Potassium,K,mg/l
,Chlorine,CHLORINE,mg/l
,Cotinine,PPCP_COT,ng/L
,Acetaminophen,PPCP_ACE,ng/L
,Atenolol,PPCP_ATE,ng/L
,Sulfamethazine,PPCP_SUL,ng/L
,"1,7-Dimethylxanthine",PPCP_DIM,ng/L
,Carbamazepine,PPCP_CAR,ng/L
,Caffeine,PPCP_CAF,ng/L
,Fecal Coliform,FCOLI,MPN/100ml
,Metoprolol,PPCP_MET,ng/L
,"Surfactants, anionic",SURF_ANIONIC,ppt
,"Surfactants, anionic",SURF_ANIONIC,NA
,Ammonia,NH3,NA
,Escherichia coli,ECOLI,NA
,Salinity,SALINITY,NA
