TABLE NUMBER,TABLE NAME,page
1,Locations,
2,"time, temp, oxy",
3,CHEMICAL OXYGEN DEMAND DATA,14
4,FIVE-DAY BIOCHEMICAL OXYGEN DEMAND,16
5,pH DATA,18
6,TOTAL ALKALINITY DATA,20
7,SUSPENDED SOLIDS DATA,22
8,TOTAL SOLIDS DATA,24
9,TOTAL KJELDAHL-NITROGEN DATA,26
10,AMMONIA-NITROGEN DATA      ,28
11,NITRATE-NITROGEN DATA  ,30
12,TOTAL PHOSPHORUS DATA  ,31
13,TOTAL COLIFORM BACTERIA DATA,33
14,FECAL COLIFORM BACTERIA DATA,35
15,CHLORIDE DATA,37
16,TOTAL _HARDNESS DATA,39
17,SULFATE DATA,40
18,ARSENIC DATA,41
19,BARIUM DATA,42
20,CADMIUM DATA,43
21,CHROMIUM DATA,44
22,COPPER‡DATA,45
23,IRON DATA,46
24,LEAD DATA,47
25,MANGANESE DATA,48
26,MERCURY DATA,49
27,NICKEL DATA,50
28,SELENIUM DATA,51
29,SILVER DATA,52
30,SODIUM DATA,53
31,VANADIUM DATA,54
32,ZINC DATA,55
33,FLOW DATA,56
,,57
