TABLE 11,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,
NITRATE-NITROGEN DATA (mg/l),,,,,,,
1 9 7 9            1 9 8 0         1 9 8 1,,,,,,,
STATION,6/27,8/6,12/12,5/13,10/28,2/26,   7/29
AJOl,,0.3,0.6,0.4,0.6,0.7,
AJ02,0.7,0.8,0.6,0.5,0.9,0.7,0.5
AJ03,0.1,0.1,0.7,0.5,0.3,0.9,0.1
AJ04,0.6,1.0,o.7,0.7,0.9,0.7,0.9
AJ05,0.9,1.5,1.4,1.0,0.9,0.7,1.3
AJ06,1.4,3.0,1.6,1.3,1.0,1.0,1.4
AJ07,1.8,3.6,3.5,1.2,1.2,1.5,1.9
AJ08,2.0,3.0,1.9,1.3,1.1,1.0,1.4
AJ09,0.1,o.o,0.5,0.6,,1.3,0.2
AJlO,1.6,2.5,1.4,5.2,1.1,1.2,3.0
AJll,,,1.6,1.3,,1.0,2.6
MYlO,1.2,1.2,1.6,1.3,1.0,1.7,1.5
MYll,1.1,1.0,1.1,1.5,0.5,1.0,1.3
MY12,1.1,0.9,1.8,1.3,0.7,1.2,0.9
MY13,0.5,0.6,,1.0,0.4,1.0,0.8
MY14,,,,0.8,,,0.1
MY15,1.0,0.2,,,0.5,1.1,0.8
MY16A,,,,,,3.5,
MY17A,0.4,0.4,,,0.4,1.2,0.2
MY18,0.3,0.1,,,0.2,0.5,o.o
HBOl,0.4,0.5,0.9,16,1.0,1.3,0.7
HB02,0.2,0.2,0.6,0.1,0.4,0.7,0.1
30,,,,,,,
