TABLE 23,,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,,
IRON DATA (mg/l),,,,,,,,,
1 9 8 0     l 9 8 l             1 9 8 6    1 9 8 1,,,,,,,,,
STATION,5/13,10/28,2/26,7/29,STATION,5/13,10/28,2/26,  7/29
AJOl,2.0,1.3,1.9,,AJTOl,0.75,,,
AJ02,2.0,0.85,0.90,1.0,AJT02,3.0,1.6,0.83,0.46
AJ03,0.58,0.60,0.64,0.55,AJT03,,0.70,0.37,*
AJ04,1.1,1.5,1.6,1.2,AJT04,,0.45,0.35,0.85
AJ05,0.90,1.5,3.3,1.1,AJT05,,0.64,1.3,0.57
AJ06,0.85,1.3,2.2,1.8,HBTOl,5.7,7.0,2.0,4.0
AJ07,2.0,1.1,1.9,1.2,HBT02,2.7,1.0,1.6,185
AJ08,0.88,1.2,1.8,0.78,HBT03,2.9,0.50,2.4,
AJ09,0.20,,0.76,0.55,HBT04,,,,6.0
AJlO,0.65,1.0,,1.0,HBT05,6.8,4.2,1.9,6.0
AJll,0.40,,1.8,0.88,HBT06,3.7,5.5,3.4,4.0
MYlO,0.18,0.07,0.24,0.24,HBT07,0.81,1.8,0.40,
MYll,0.35,0.18,0.23,0.2,HBT08,4.4,3.5,2.3,2.0
MY12,1.4,1.5,1.2,1.7                      ,,,,,
*Not sampled: riverbed was dry,,,,,,,,,
MY13,1.4,0.70,2.3,0.64,during survey period.,,,,
MY14,3.8,,,1.2,,,,,
MY15,,0.29,o. 71,0.52,,,,,
MY16A,,,0.82,,,,,,
MY17A,,1.0,1.6,0.64,,,,,
MY18,,0.40,2.5,0.35,,,,,
HBOl,1.8,1.0,1.1,1.6,,,,,
HB02,0.50,0.30,0.35,2.0,,,,,
47,,,,,,,,,
