TABLE 26,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,
MERCURY DATA (mg/l),,,,,,,,
,,1 9 8 0,,,,1 9 8 0,,
STATION,,5/13     10/28,,STATION,,5/13       10/28,,
AJOl,0.0002,,0.0000,,AJTOl,0.0002,,
AJ02,0.0005,,0.0000,,AJT02,0.0001,0.00041,
AJ03,0.0002,,0.0000,,AJT03,,0.0000,
AJ04,0.0006,,0.0000,,AJT04,,0.0006,
AJ05,0.0002,,0.0000,,AJT05,,0.0000,
AJ06,0.0003,,0.0000,,HBTOl,0.0019,0.0000,
AJ07,0.0005,,0.0000,,HBT02,0.0008,0.0000,
AJ08,0.0003,,0.0000,,HBT03,0.0007,0.0000,
AJ09,0.0001,,,,HBT04,,,
AJlO,0.0001,,0.0000,,HBT05,0.0002,0.0000,
AJll,0.0007,,,,HBT06,0.0005,0.0000,
MYlO,0.0002,,0.0000,,HBT07,0.0004,0.0000,
MYll,0.0002,,0.0001,,HBTOS,0.0006,0.0001,
MY12,0.0003,,0.0000,,,,,
MY13,0.0002,,0.0000,,,,,
MY14,0.0002,,,,,,,
MY15,,,0.0000,,,,,
MY16A,,,,,,,,
MY17A,,,0.0000,,,,,
MY18,,,0.0000,,,,,
HBOl,0.0006,,0.0000,,,,,
HB02,0.0005,,0.0000,,,,,
50,,,,,,,,
