TABLE 27,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,
NICKEL DATA (mg/1),,,,,,
1 9 8 0                       1 9 8 0,,,,,,
   STATION    5/13    10/28      STATION    5/13      10/28,,,,,,
"AJOl
AJ02","o.oo
o.oo",,"o.oo
0.00","AJTOl
AJT02","o.oo
o.oo",0.00
AJ03,o.oo,,0.00,AJT03,,0.00
AJ04,o.oo,.,o.oo,AJT04,,o.oo
"AJ05
AJ06","o.oo
o.oo",,"o.oo
0.00","AJT05
HBTOl",0.00,"0.00
o.oo"
AJ07,o.oo,,o.oo,HBT02,o.oo,0.00
AJ08,o.oo,,o.oo,HBT03,o.oo,o.oo
AJ09,o.oo,,,HBT04,,
AJlO,0.00,,o.oo,HBT05,o.oo,o.oo
AJll,o.oo,,,HBT06,o.oo,o.oo
MYlO,o.oo,,o.oo,HBT07,o.oo,0.00
MYll,o.oo,,0.00,HBT08,o.oo,o.oo
MY12,o.oo,,o.oo,,,
MY13,o.oo,,o.oo,,,
MY14,o.oo,,,,,
MY15,,,o.oo,,,
MY16A,,,,,,
MY17A,,,o.oo,,,
MY18,,,o.oo,,,
HBOl,o.oo,,0.00,,,
HB02,o.oo,,0.00,,,
"•,",,,,,,
51,,,,,,
