TABLE 7,,,,,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,,,,,
SUSPENDED SOLIDS DATA (mg/l),,,,,,,,,,,,
,,1 9 7 9,,,,1 9 8 0,,,,1 9 8 1,,
STATION,,6/27    8/6    12/12,,,,5/13    10/28,,,,2/26     7/29,,
AJOl,,,34,7.0,,,10,5.5,11,,,
AJ02,13,,17,7.0,,,11,6.0,6,,4.0,
AJ03,32,,24,5.0,,,6.5,7.5,13,,3.5,
AJ04,8.0,,5.5,3.0,,,5.0,5.5,22,,6.0,
AJ05,12,,3.5,4.0,,,4.5,5.0,7,,1.5,
AJ06,6.0,,7.5,4.0,,,6.5,3.5,6,,10,
AJ07,8.0,,8.0,2.5,,,44,5.5,15,,2.5,
AJ08,15,,10,3.0,,,10,7.5,17,,4.5,
AJ09,8.5,,10,4.5,,,2.5,,21,,9.0,
AJlO,6.0,,4.5,3.5,,,7.5,4.0,17,,8.5,
AJll,,,,4.0,,,6.0,,15,,11.5,
MYlO,7.0,,6.5,1.5,,,8.5,1.5,2,,12.5,
MYll,9.5,,6.0,3.5,,,20,3.0,5,,7.5,
MY12,9.0,,2.5,3.0,,,24,3.5,21,,15,
MY13,21,,24,,,,30,11,60,,15,
MY14,,,,,,,88,,,,18.5,
MY15,15,,7.5,,,,,6.5,26,,12.0,
MY16A,,,,,,,,,42,,,
MY17A,14,,28,,,,,6.5,55,,7.0,
MY18,20,,24,,,,,7.0,25,,17.5,
HBOl,6.0,,3.5,2.0,,,10,4.5,11,,3.5,
HB02,6.5,,9.5,o.o,,,1.5,1.0,4,,3.0,
,,,,,22,,,,,,,
