TABLE 9 (CONTINUED),,,,,,,
1 9 7 9            1 9 8 0         1 9 8 1,,,,,,,
STATION,6/27,8/6,12/12,5/13   10/28,,2/26     7/29,
AJTOl,,,1.1,0.74,,,
AJT02,"' '
6.0",2.2,0.76,2.7   14,,0.96  2.9,
AJT03,,,,2.8,,0.60   *,
AJT04,,,,,1.0,0.80,0.24
AJT05,,,,,1.1,0.96,0.28
HBTOl,1.3,,1.1,1.0,1.8,0.54,0.35
HBT02,58,,143,168,153,78,350
HBT03,,,,8.5,67,89,
HB'J'.04,,,,,,2.0,4.0
HBT05,52,23,67,181,67,38,68
HBT06,40,33,50,27,59,12,63
HBT07,,,,29,23,2.6,
HBT08,34,34,51,66,50,25,63
*Not sampled: riverbed was dry during survey period.,,,,,,,
27,,,,,,,
