TABLE 2 (CONTINUED),,,,,,,
STATION,6/27/79,8/6/79,12/12/79,5/13/80,10/28/80,2/26/81,7/29/81
HBT03,,,,0910,1315,1345,--
,,,,63,42,38,
,,,,2.8,7.7,9.5,
,,,,29,61,71,
HBT04,,,,0745,,,
,,,,58,,,
,,,,7.0,,,
,,,,69,,,
HBT05,1310,1128,1035,0940,1230,1300,1315
,74,77,53,60,44,40,68
,5.1,5.6,5.6,4.5,5.1,8.9,4.7
,60,68,52,45,42,69,51
HBT06,1300,1130,1045,1000,1220,1250,1315
,78,70,51,58,46,40,68
,3.9,5.0,6.8,6.8,6.4,8.8,7.2
,48,57,62,67,54,68,78
HBT07,1300,,,0950,1235,1302,
,67,,,58,52,39,
,5.8,,,8.0,8.8,12.0,
,48,,,78,80,81,
HBT08,1209,1220,1113,1025,1214,1240,1305
,74,77,51,60,44,40,67
,7.4,7.7,8.9,9.8,8.0,10.3,6.7
,88,94,81,98,65,79,72
*Time,,,,,,,
**Temperature,,,,,,,
***Dissolved Oxygen,,,,,,,
****% Saturation,,,,,,,
13,,,,,,,
