TABLE 20,,,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,,,
CADMIUM DATA (mg/l),,,,,,,,,,
,1,9 8 0,,1 9 8 1,,,,1 9 8 0,1 9 8 1,
STATION,,5/13,,2/26  7/28,,,STATION,5/13,2/26    7/29,
AJOl,,o.oo,,0.00,,,AJTOl,o.oo,,
AJ02,,0.00,,o.oo,o.oo,,AJT02,o.oo,0.00,0.01
AJ03,,o.oo,,o.oo,0.01,,AJT03,,0.00,*
AJ04,,0.00,,o.oo,0.01,,AJT04,,0.00,0.00
AJOS,,0.00,,o.oo,0.01,,AJT05,,0.00,0.00
AJ06,,0.00,,0.00,o.oo,,HBTOl,o.oo,0.00,0.00
AJ07,,0.00,,o.oo,0.00,,HBT02,0.00,o.oo,0.01
"AJ08
AJ09",,"0.00
o.oo",,"o.oo
0.00","o.oo
o.oo",,"HBT03
HBT04",o.oo,o.oo,0.01
AJlO,,0.00,,,o.oo,,HBTOS,o.oo,0.00,0.01
AJll,,o.oo,,o.oo,0.01,,HBT06,o.oo,0.00,0.00
MYlO,,o.oo,,o.oo,o.oo,,HBT07,o.oo,0.00,
MYll,,0.00,,o.oo,o.oo,,HBT08,o.oo,0.00,0.00
MY12    0.00 o.oo · o.oo                ,,,,,,,,,,
*Not sampled: riverbed was dry during survey period.,,,,,,,,,,
MY13,0.00,,o.oo,,o.oo,,,,,
MY14,0.00,,,,o.oo,,,,,
MYlS,,,o.oo,,o.oo,,,,,
MY16A,,,o.oo,,,,,,,
MY17A,,,o.oo,,0.00,,,,,
MY18,,,o.oo,,o.oo,,,,,
HBOl,o.oo,,o.oo,,o.oo,,,,,
HB02,o.oo,,o.oo,,0.00,,,,,
44,,,,,,,,,,
