TABLE 21,,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,,
CHROMIUM DATA (mg/1),,,,,,,,,
1 9 8 0     1 9 8 1             1 9 8 0      1 9 8 1,,,,,,,,,
STATION  5/13  10/28 2/26  7/29  STATION  5/13  10/28 2/26  7/29,,,,,,,,,
AJOl,o.oo,o.oo,0.00,,AJTOl,o.oo,,,
AJ02,o.oo,o.oo,0.00,0.01,AJT02,o.oo,o.oo,o.oo,
AJ03,o.oo,o.oo,o.oo,o.oo,AJT03,,o.oo,o.oo,*
AJ04,0.00,o.oo,0.01,0.01,AJT04,,o.oo,o.oo,
AJ05,o.oo,0.01,0.00,0.02,AJT05,,o.oo,o.oo,
AJ06,o.oo,o.oo,o.oo,,HBTOl,o.oo,o.oo,0.00,o.oo
AJ07,0.00,o.oo,0.00,,HBT02,0.03,o.oo,0.07,0.02
AJ08,o.oo,0.00,0.01,,HBT03,o.oo,o.oo,0.10,
AJ09,o.oo,,0.00,,HBT04,,,,o.oo
A.JlO,o.oo,o.oo,,,HBT05,o.oo,o.oo,0.04,o.oo
AJll,o.oo,,0.00,,HBT06,o.oo,o.oo,0.00,0.01
MYlO,0.00,o.oo,0.00,,HBT07,0.00,0.02,o.oo,
MYll,o.oo,o.oo,0.00,,HBT08,0.00,o.oo,0.02,o.oo
MY12,o.oo,o.oo,0.00,,,,,,
*Not sampled: riverbed was dry,,,,,,,,,
MY13,0.00,o.oo,0.01,during survey period.,,,,,
MY14,o.oo,,,,,,,,
MY15,,o.oo,0.24,,,,,,
MY16A,,,0.12,,,,,,
MY17A,,o.oo,0.00,,,,,,
MY18,,o.oo,0.00,,,,,,
HBOl,0.00,0.01,0.00,0.01,,,,,
HB02,o.oo,0.38,o.oo,0.01,,,,,
45,,,,,,,,,
