TABLE 22,,,,,,,,,,
MYSTIC RIVER BASIN SURVEY,,,,,,,,,,
,l 9 8 0,,,"COPPER DATA
l 9 8 l",,(mg/l ),l 9 8 0,,l 9 8 l,
STATION,5/13  10/28,,,2/26 7/29,,STATION,5/13  10/28,,2/26    7/29,
AJOl,o.oo 0.02,,,0.01,,AJTOl,o.oo,,,
AJ02,0.00,o.oo,,0.01,o.oo,AJT02,0.04,0.04,0.01,0.01
AJ03,0.00,0.01,,0.01,0.00,AJT03,,0.00,o.oo,*
AJ04,0.02,0.05,,0.04,0.01,AJT04,,0.00,o.oo,0.01
AJ05,0.00,0.02,,0.01,0.00,AJT05,,0.00,o.oo,0.01
AJ06,0.00,0.02,,0.01,0.01,HBTOl,o.oo,0.00,o.oo,o.oo
AJ07,0.02,0.01,,0.01,o.oo,HBT02,o.oo,0.05,o.oo,0.01
AJ08,0.00,0.02,,0.01,0.00,HBT03,0.00,0.02,0.01,
AJ09,o.oo,,,0.02,0.00,HBT04,,,,0.01
AJlO,0.00,o.oo,,,0.01,HBT05,o.oo,0.01,o.oo,0.00
AJll,0.00,,,0.00,0.01,HBT06,o.oo,0.02,0.04,0.01
MYlO,0.00,o.oo,,0.00,0.01,HBT07,o.oo,0.00,0.01,
MYll,o.oo,o.oo,,0.00,0.01,HBT08,o.oo,0.05,0.09,0.01
MY12    0.04  0.00  0.01  0.02                  ,,,,,,,,,,
*Not sampled: riverbed was dry during survey period.,,,,,,,,,,
MY13,0.03,o.oo,0.02,,0.01,,,,,
MY14,0.04,,,,0.00,,,,,
MYlS,,0.00,0.02,,0.00,,,,,
MY16A,,,0.05,,,,,,,
MY17A,,o.oo,0.01,,o.oo,,,,,
MY18,,o.oo,0.02,,o.oo,,,,,
HBO!,o.oo,0.01,0.04,,0.01,,,,,
HB02,0.01,0.09,0.02,,0.01,,,,,
46,,,,,,,,,,
