TABLE 33,,
MYSTIC RIVER BASIN SURVEY,,
FLOW DATA (cfs),,
LOCATION,6/27/79,8/6/79
"Aberjona River at Montvale Avenue, Woburn",4.52,2.39
"Aberjona River at Swanton Street, Winchester",5.42,3.13
"Alewife Brook at Broadway, Somerville
Halls Brook at Woburn Industrial Park, Woburn","5.27
1.04",0.37
"Mill Brook at Brook/Beech Street, Arlington",1.80,1.86
USGS gage on Aberjona River at Winchester:,,
DATE            FLOW,,
"--.,                                                             6/27/79             4.6",,
8/6/79             3.7,,
12/12/79            12,,
5/13/80            42,,
10/28/80            19*,,
2/26/81             263*,,
7/29/81             24*,,
*USGS gage readings are provisional until published by USGS,,
57,,
