"LocationID","Datetime","TEMP_WATER","DO","DO_SAT"
"AJOl *","1979-12-12 11:50:00","51","11.0","100"
"AJOl *","1980-05-13 11:45:00","64","8.8","92"
"AJOl *","1980-10-28 11:55:00","41","6.5","51"
"AJOl *","1981-02-26 12:20:00","40","11.2","86"
"AJ02","1979-06-27 11:36:00","73","4.8","55"
"AJ02","1979-08-06 13:35:00","76","2.6","31"
"AJ02","1979-12-12 11:30:00","49","10.5","92"
"AJ02","1980-05-13 11:25:00","63","7.7","82"
"AJ02","1980-10-28 11:52:00","42","7.1","56"
"AJ02","1981-02-26 12:10:00","38","11.6","87"
"AJ02","1981-07-29 12:45:00","68","6.6","72"
"AJ03","1979-06-27 11:29:00","75","9.5","114"
"AJ03","1979-08-06 13:30:00","85","9.4","125"
"AJ03","1979-12-12 11:30:00","49","13.4","117"
"AJ03","1980-05-13 11:35:00","63","9.8","102"
"AJ03","1980-10-28 11:40:00","45","9.2","76"
"AJ03","1981-02-26 12:00:00","38","11.6","87"
"AJ03","1981-07-29 12:35:00","72","7.6","86"
"AJ04","1979-06-27 11:50:00","70","7.4","84"
"AJ04","1979-08-06 12:45:00","79","6.8","85"
"AJ04","1979-12-12 11:22:00","46","9.9","83"
"AJ04","1980-05-13 11:03:00","63","7.9","82"
"AJ04","1980-10-28 12:00:00","44","8.8","72"
"AJ04","1981-02-26 11:50:00","35","12.2","88"
"AJ04","1981-07-29 12:25:00","70","6.1","68"
"AJ05","1979-06-27 11:11:00","68","5.2","58"
"AJ05","1979-08-06 14:15:00","76","6.3","76"
"AJ05","1979-12-12 12:06:00","49","9.4","82"
"AJ05","1980-05-13 11:55:00","63","6.0","63"
"AJ05","1980-10-28 11:10:00","41","6.0","49"
"AJ05","1981-02-26 11:40:00","39","10.9","83"
"AJ05","1981-07-29 12:15:00","68","4.4","48"
"AJ06","1979-06-27 10:56:00","65","5.9","63"
"AJ06","1979-08-06 14:25:00","75","6.2","74"
"AJ06","1979-12-12 12:28:00","48","10.2","88"
"AJ06","1980-05-13 12:20:00","63","6.5","67"
"AJ06","1980-10-28 11:00:00","43","8.5","69"
"AJ06","1981-02-26 11:05:00","39","10.6","80"
"AJ06","1981-07-29 11:30:00","67","6.0","65"
"AJ07","1979-06-27 10:42:00","64","5.9","63"
"AJ07","1979-08-06 14:40:00","76","5.2","63"
"AJ07","1979-12-12 13:03:00","48","11.3","98"
"AJ07","1980-05-13 13:05:00","61","6.7","68"
"AJ07","1980-10-28 10:45:00","45","8.2","68"
"AJ07","1981-02-26 10:50:00","39","11.3","86"
"AJ07","1981-07-29 11:22:00","68","6.6","72"
"A.JO B","1979-06-27 10:33:00","66","4.8","52"
"A.JO B","1979-08-06 14:47:00","80","5.2","66"
"A.JO B","1979-12-12 13:13:00","50","10.8","97"
"A.JO B","1980-05-13 13:13:00","61","6.8","69"
"A.JO B","1980-10-28 10:35:00","45","8.3","69"
"A.JO B","1981-02-26 10:50:00","37","11.3","83"
"A.JO B","1981-07-29 11:15:00","68","5.3","58"
"AJ09","1979-06-27 10:24:00","71","9.7","111"
"AJ09","1979-08-06 14:45:00","85","9.1","121"
"AJ09","1979-12-12 13:20:00","50","12.3","111"
"AJ09","1980-05-13 13:32:00","64","10.8","114"
"AJ09","1980-10-28 10:11:00","45","6.0","50"
"AJ09","1981-02-26 10:20:00","39","11.0","83"
"AJ09","1981-07-29 10:45:00","75","6.7","78"
"A.HO","1979-06-27 10:13:00","60","3.9","39"
"A.HO","1979-08-06 15:00:00","77","7","86"
"A.HO","1979-12-12 13:34:00","49","11.2","98"
"A.HO","1980-05-13 13:45:00","64","8","84"
"A.HO","1980-10-28 10:05:00","44","6.9","56"
"A.HO","1981-02-26 10:15:00","36","11.8","86"
"A.HO","1981-07-29 10:35:00","70","5.4","60"
"AJ ll","1979-12-12 13:50:00","48","7.3","63"
"AJ ll","1981-02-26 10:10:00","39","12","90"
"AJ ll","1981-07-29 10:30:00","70","4.9","55"
"MYlO","1979-06-27 10:00:00","71","8.5","97"
"MYlO","1979-08-06 15:08:00","83","8.8","115"
