"OriginalLocationID","LocationID","Datetime","CHLORIDE DATA"
"AJ01","AJ01","5/13/80","39"
"AJ01","AJ01","2/26/81","24"
"AJ02","ABRN01","5/13/80","36"
"AJ02","ABRN01","2/26/81","39"
"AJ02","ABRN01","7/29/81","42"
"AJ03","ABR070","5/13/80","42"
"AJ03","ABR070","2/26/81","67"
"AJ03","ABR070","7/29/81","39"
"AJ04","HAB001","5/13/80","46"
"AJ04","HAB001","2/26/81","46"
"AJ04","HAB001","7/29/81","51"
"AJ05","ABR049","5/13/80","52"
"AJ05","ABR049","2/26/81","51"
"AJ05","ABR049","7/29/81","27"
"AJ06","ABR036","5/13/80","57"
"AJ06","ABR036","2/26/81","68"
"AJ06","ABR036","7/29/81","35"
"AJ07","ABR028","5/13/80","60"
"AJ07","ABR028","2/26/81","75"
"AJ07","ABR028","7/29/81","46"
"AJ08","ABR017","5/13/80","56"
"AJ08","ABR017","2/26/81","76"
"AJ08","ABR017","7/29/81","15"
"AJ10","ABR006","8/6/79","124"
"AJ10","ABR006","5/13/80","57"
"AJ10","ABR006","2/26/81","81"
"AJ10","ABR006","7/29/81","56"
"AJ11","ABR001","5/13/80","59"
"AJ11","ABR001","2/26/81","81"
"AJ11","ABR001","7/29/81","65"
"MY10","UPL001","6/27/79","72"
"MY10","UPL001","8/6/79","78"
"MY10","UPL001","5/13/80","61"
"MY10","UPL001","2/26/81","78"
"MY10","UPL001","7/29/81","58"
"MY11","MYR071","6/27/79","83"
"MY11","MYR071","8/6/79","78"
"MY11","MYR071","5/13/80","61"
"MY11","MYR071","2/26/81","103"
"MY11","MYR071","7/29/81","79"
"MY12","MIB001","6/27/79","98"
"MY12","MIB001","8/6/79","95"
"MY12","MIB001","5/13/80","20"
"MY12","MIB001","2/26/81","101"
"MY12","MIB001","7/29/81","49"
"MY13","MWRA070","6/27/79","92"
"MY13","MWRA070","8/6/79","74"
"MY13","MWRA070","5/13/80","49"
"MY13","MWRA070","2/26/81","104"
"MY13","MWRA070","7/29/81","68"
"MY14","MWRA172","5/13/80","48"
"MY14","MWRA172","7/29/81","71"
"MY15","MWRA061","6/27/79","83"
"MY15","MWRA061","8/6/79","148"
"MY15","MWRA061","2/26/81","101"
"MY15","MWRA061","7/29/81","74"
"MY16A","MYR39","2/26/81","94"
"MY17A","MAR036","6/27/79","360"
"MY17A","MAR036","8/6/79","74"
"MY17A","MAR036","2/26/81","130"
"MY17A","MAR036","7/29/81","260"
"MY18","MWRA059","6/27/79","540"
"MY18","MWRA059","8/6/79","200"
"MY18","MWRA059","2/26/81","240"
"MY18","MWRA059","7/29/81","400"
"HB01","HAB0015","5/13/80","73"
"HB01","HAB0015","2/26/81","80"
"HB01","HAB0015","7/29/81","60"
"HB02","HAB002","5/13/80","42"
"HB02","HAB002","2/26/81","92"
"HB02","HAB002","7/29/81","38"
"AJT02","SWBB","5/13/80","33"
"AJT02","SWBB","2/26/81","106"
"AJT02","SWBB","7/29/81","34"
"AJT03","HOB103","2/26/81","55"
"AJT04","SHBTRIB","2/26/81","41"
"AJT04","SHBTRIB","7/29/81","26"
"AJT05","CUBLEX","2/26/81","52"
"AJT05","CUBLEX","7/29/81","38"
"HBT01","HBT01","5/13/80","45"
"HBT01","HBT01","2/26/81","18"
"HBT01","HBT01","7/29/81","39"
"HBT02","HBT02","5/13/80","360"
"HBT02","HBT02","2/26/81","13"
"HBT02","HBT02","7/29/81","340"
"HBT03","HBT03","5/13/80","46"
"HBT03","HBT03","2/26/81","128"
"HBT05","HBT05","5/13/80","200"
"HBT05","HBT05","2/26/81","76"
"HBT05","HBT05","7/29/81","128"
"HBT06","HBT06","5/13/80","100"
"HBT06","HBT06","2/26/81","72"
"HBT06","HBT06","7/29/81","120"
"HBT07","HBT07","5/13/80","26"
"HBT07","HBT07","2/26/81","1"
"HBT08","HBT08","5/13/80","130"
"HBT08","HBT08","2/26/81","65"
"HBT08","HBT08","7/29/81","109"
