"OriginalLocationID","LocationID","Datetime","TOTAL _HARDNESS DATA"
"AJ01","AJ01","10/29/80","89"
"AJ02","ABRN01","10/29/80","80"
"AJ02","ABRN01","7/29/81","37"
"AJ03","ABR070","10/29/80","49"
"AJ03","ABR070","7/29/81","52"
"AJ04","HAB001","10/29/80","75"
"AJ04","HAB001","7/29/81","49"
"AJ05","ABR049","10/29/80","81"
"AJ05","ABR049","7/29/81","56"
"AJ06","ABR036","10/29/80","82"
"AJ06","ABR036","7/29/81","56"
"AJ07","ABR028","10/29/80","89"
"AJ07","ABR028","7/29/81","51"
"AJ08","ABR017","10/29/80","81"
"AJ08","ABR017","7/29/81","32"
"AJ10","ABR006","10/29/80","83"
"AJ10","ABR006","7/29/81","75"
"AJ11","ABR001","7/29/81","95"
"MY10","UPL001","10/29/80","86"
"MY10","UPL001","7/29/81","84"
"MY11","MYR071","10/29/80","91"
"MY11","MYR071","7/29/81","73"
"MY12","MIB001","10/29/80","61"
"MY12","MIB001","7/29/81","55"
"MY13","MWRA070","10/29/80","86"
"MY13","MWRA070","7/29/81","73"
"MY14","MWRA172","7/29/81","98"
"MY15","MWRA061","10/29/80","105"
"MY15","MWRA061","7/29/81","78"
"MY17A","MAR036","10/29/80","57"
"MY17A","MAR036","7/29/81","95"
"MY18","MWRA059","10/29/80","163"
"MY18","MWRA059","7/29/81","146"
"HB01","HAB0015","10/29/80","73"
"HB01","HAB0015","7/29/81","26"
"HB02","HAB002","10/29/80","44"
"HB02","HAB002","7/29/81","57"
"AJT02","SWBB","10/29/80","74"
"AJT02","SWBB","7/29/81","45"
"AJT03","HOB103","10/29/80","71"
"AJT04","SHBTRIB","10/29/80","72"
"AJT04","SHBTRIB","7/29/81","49"
"AJT05","CUBLEX","10/29/80","95"
"AJT05","CUBLEX","7/29/81","453"
"HBT01","HBT01","10/29/80","75"
"HBT01","HBT01","7/29/81","74"
"HBT02","HBT02","10/29/80","84"
"HBT02","HBT02","7/29/81","80"
"HBT03","HBT03","10/29/80","34"
"HBT05","HBT05","10/29/80","138"
"HBT05","HBT05","7/29/81","71"
"HBT06","HBT06","10/29/80","185"
"HBT06","HBT06","7/29/81","100"
"HBT07","HBT07","10/29/80","104"
"HBT08","HBT08","10/29/80","142"
"HBT08","HBT08","7/29/81","102"
