TABLE 2 (CONTINUED),,,,,,,
STATION,6/27/1979,8/6/1979,12/12/1979,5/13/1980,10/28/1980,2/26/1981,7/29/1981
MY18,935,1601,,,900,900,905
,69,80,,,48,41,74
,9.2,10.4,,,9.5,11.7,9.4
,103,131,,,82,92,109
HB01,1207,1215,1108,1015,1214,1235,1305
,70,75,49,61,43,36,70
,9.6,7.8,9.9,9,7.4,10.5,6.5
,109,93,87,92,60,76,72
HB02,1251,1145,1055,1050,1210,1245,1310
,68,70,48,63,45,39,69
,5.4,2.8,9.1,5.7,7.5,10.4,5.1
,60,32,79,59,63,79,56
AJT01,,,1214,1205,,,
,,,48,61,,,
,,,12.2,8.5,,,
,,,105,87,,,
AJT02,1050,1430,1254,1230,1055,1100,
,62,73,54,61,44,40,
,4.7,6.8,11.9,7.6,7.7,12.3,
,49,80,113,78,62,95,
AJT03,,,,,,1020,
,,,,,,39,
,,,,,,12.4,
,,,,,,94,
AJT04,,,,,1025,1035,1100
,,,,,47,39,66
,,,,,9,12.3,6.9
,,,,,76,83,73
AJT05,,,,,1030,1040,1105
,,,,,46,37,65
,,,,,10.2,12.5,8.1
,,,,,86,92,85
HBT01,1330,1106,1000,815,1310,1330,1400
,69,70,53,55,43,40,65
,0.5,0,4.1,5.3,4.2,,3.5
,5.6,0,38,50,32,,37
HBT02,1335,,945,735,1240,1314,1345
,79,,48,60,44,40,
,3.4,,8.3,5.5,7.1,9.4,5.3
,42,,72,55,58,69,
