"OrigStationName","LocationID","SurveyDate","Datetime","TEMP_WATER","DO","DO_SAT"
"AJ01","AJ01","1979-06-27","1979-06-27 00:01:00",,,
"AJ01","AJ01","1979-08-06","1979-08-06 13:55:00",,,
"AJ01","AJ01","1979-12-12","1979-12-12 11:50:00","51","11","100"
"AJ01","AJ01","1980-05-13","1980-05-13 11:45:00","64","8.8","92"
"AJ01","AJ01","1980-10-28","1980-10-28 11:55:00","41","6.5","51"
"AJ01","AJ01","1981-02-26","1981-02-26 12:20:00","40","11.2","86"
"AJ01","AJ01","1981-07-29","1981-07-29 00:01:00",,,
"AJ02","ABRN01","1979-06-27","1979-06-27 11:36:00","73","4.8","55"
"AJ02","ABRN01","1979-08-06","1979-08-06 13:35:00","76","2.6","31"
"AJ02","ABRN01","1979-12-12","1979-12-12 11:30:00","49","10.5","92"
"AJ02","ABRN01","1980-05-13","1980-05-13 11:25:00","63","7.7","82"
"AJ02","ABRN01","1980-10-28","1980-10-28 11:52:00","42","7.1","56"
"AJ02","ABRN01","1981-02-26","1981-02-26 12:10:00","38","11.6","87"
"AJ02","ABRN01","1981-07-29","1981-07-29 12:45:00","68","6.6","72"
"AJ03","ABR070","1979-06-27","1979-06-27 11:29:00","75","9.5","114"
"AJ03","ABR070","1979-08-06","1979-08-06 13:30:00","85","9.4","125"
"AJ03","ABR070","1979-12-12","1979-12-12 11:30:00","49","13.4","117"
"AJ03","ABR070","1980-05-13","1980-05-13 11:35:00","63","9.8","102"
"AJ03","ABR070","1980-10-28","1980-10-28 11:40:00","45","9.2","76"
"AJ03","ABR070","1981-02-26","1981-02-26 12:00:00","38","11.6","87"
"AJ03","ABR070","1981-07-29","1981-07-29 12:35:00","72","7.6","86"
"AJ04","HAB001","1979-06-27","1979-06-27 11:50:00","70","7.4","84"
"AJ04","HAB001","1979-08-06","1979-08-06 12:45:00","79","6.8","85"
"AJ04","HAB001","1979-12-12","1979-12-12 11:22:00","46","9.9","83"
"AJ04","HAB001","1980-05-13","1980-05-13 11:03:00","63","7.9","82"
"AJ04","HAB001","1980-10-28","1980-10-28 12:00:00","44","8.8","72"
"AJ04","HAB001","1981-02-26","1981-02-26 11:50:00","35","12.2","88"
"AJ04","HAB001","1981-07-29","1981-07-29 12:25:00","70","6.1","68"
"AJ05","ABR049","1979-06-27","1979-06-27 11:11:00","68","5.2","58"
"AJ05","ABR049","1979-08-06","1979-08-06 14:15:00","76","6.3","76"
"AJ05","ABR049","1979-12-12","1979-12-12 12:06:00","49","9.4","82"
"AJ05","ABR049","1980-05-13","1980-05-13 11:55:00","63","6","63"
"AJ05","ABR049","1980-10-28","1980-10-28 11:10:00","41","6","49"
"AJ05","ABR049","1981-02-26","1981-02-26 11:40:00","39","10.9","83"
"AJ05","ABR049","1981-07-29","1981-07-29 12:15:00","68","4.4","48"
"AJ06","ABR036","1979-06-27","1979-06-27 10:56:00","65","5.9","63"
"AJ06","ABR036","1979-08-06","1979-08-06 14:25:00","75","6.2","74"
"AJ06","ABR036","1979-12-12","1979-12-12 12:28:00","48","10.2","88"
"AJ06","ABR036","1980-05-13","1980-05-13 12:20:00","63","6.5","67"
"AJ06","ABR036","1980-10-28","1980-10-28 11:00:00","43","8.5","69"
"AJ06","ABR036","1981-02-26","1981-02-26 11:05:00","39","10.6","80"
"AJ06","ABR036","1981-07-29","1981-07-29 11:30:00","67","6","65"
"AJ07","ABR028","1979-06-27","1979-06-27 10:42:00","64","5.9","63"
"AJ07","ABR028","1979-08-06","1979-08-06 14:40:00","76","5.2","63"
"AJ07","ABR028","1979-12-12","1979-12-12 13:03:00","48","11.3","98"
"AJ07","ABR028","1980-05-13","1980-05-13 13:05:00","61","6.7","68"
"AJ07","ABR028","1980-10-28","1980-10-28 10:45:00","45","8.2","68"
"AJ07","ABR028","1981-02-26","1981-02-26 10:50:00","39","11.3","86"
"AJ07","ABR028","1981-07-29","1981-07-29 11:22:00","68","6.6","72"
"AJ08","ABR017","1979-06-27","1979-06-27 10:33:00","66","4.8","52"
"AJ08","ABR017","1979-08-06","1979-08-06 14:47:00","80","5.2","66"
"AJ08","ABR017","1979-12-12","1979-12-12 13:13:00","50","10.8","97"
"AJ08","ABR017","1980-05-13","1980-05-13 13:13:00","61","6.8","69"
"AJ08","ABR017","1980-10-28","1980-10-28 10:35:00","45","8.3","69"
"AJ08","ABR017","1981-02-26","1981-02-26 10:50:00","37","11.3","83"
"AJ08","ABR017","1981-07-29","1981-07-29 11:15:00","68","5.3","58"
"AJ10","ABR006","1979-06-27","1979-06-27 10:13:00","60","3.9","39"
"AJ10","ABR006","1979-08-06","1979-08-06 15:00:00","77","7","86"
"AJ10","ABR006","1979-12-12","1979-12-12 13:34:00","49","11.2","98"
"AJ10","ABR006","1980-05-13","1980-05-13 13:45:00","64","8","84"
"AJ10","ABR006","1980-10-28","1980-10-28 10:05:00","44","6.9","56"
"AJ10","ABR006","1981-02-26","1981-02-26 10:15:00","36","11.8","86"
"AJ10","ABR006","1981-07-29","1981-07-29 10:35:00","70","5.4","60"
"AJ11","ABR001","1979-06-27","1979-06-27 00:01:00",,,
"AJ11","ABR001","1979-08-06","1979-08-06 00:01:00",,,
"AJ11","ABR001","1979-12-12","1979-12-12 13:50:00","48","7.3","63"
"AJ11","ABR001","1980-05-13","1980-05-13 13:50:00",,,
"AJ11","ABR001","1980-10-28","1980-10-28 00:01:00",,,
"AJ11","ABR001","1981-02-26","1981-02-26 10:10:00","39","12","90"
"AJ11","ABR001","1981-07-29","1981-07-29 10:30:00","70","4.9","55"
"MY10","UPL001","1979-06-27","1979-06-27 10:00:00","71","8.5","97"
"MY10","UPL001","1979-08-06","1979-08-06 15:08:00","83","8.8","115"
"MY10","UPL001","1979-12-12","1979-12-12 14:05:00","47","10.8","92"
