TABLE 20,,,,
MYSTIC RIVER BASIN SURVEY,,,,
CADMIUM DATA (mg/l),,,,
,1,9 8 0,,1 9 8 1
STATION,5/13/1980,2/26/1981,7/29/1981,
AJ01,0,0,,
AJ02,0,0,0,
AJ03,0,0,0.01,
AJ04,0,0,0.01,
AJ05,0,0,0.01,
AJ06,0,0,0,
AJ07,0,0,0,
AJ08,0,0,0,
AJ09,0,0,0,
AJ10,0,,0,
AJ11,0,0,0.01,
MY10,0,0,0,
MY11,0,0,0,
MY12,0,0,0,
MY13,0,0,0,
MY14,0,,0,
MY15,,0,0,
MY16A,,0,,
MY17A,,0,0,
MY18,,0,0,
HB01,0,0,0,
HB02,0,0,0,
AJT01,0,,,
AJT02,0,0,0.01,
AJT03,,0,,
AJT04,,0,0,
AJT05,,0,0,
HBT01,0,0,0,
HBT02,0,0,0.01,
HBT03,0,0,,
HBT04, , ,0.01,
HBT05,0,0,0.01,
HBT06,0,0,0,
HBT07,0,0,,
HBT08,0,0,0,
