TABLE 24,,,,
MYSTIC RIVER BASIN SURVEY,,,,
,,,,LEAD DATA (mg/l)
,,1 9 8 0,,1 9 8 1
STATION,5/13/1980,10/28/1980,2/26/1981,7/29/1981
AJ01,0,0.03,0.04,
AJ02,0,0.02,0,0.05
AJ03,0,0.02,0.03,0.01
AJ04,0,0,0.04,0.01
AJ05,0,0.03,0.01,0
AJ06,0,0.02,0.03,0
AJ07,0.08,0.02,0.03,0.04
AJ08,0.03,0.03,0.03,0.03
AJ09,0,,0.02,0
AJ10,0.04,0,,0
AJ11,0.03,,0.05,0
MY10,0,0,0,0
MY11,0.1,0.02,0.02,0
MY12,0.12,0,0.05,0
MY13,0.1,0.02,0.25,0.02
MY14,,,,0.03
MY15,0.18,0,0.05,0
MY16A,,,0.03,
MY17A,,0.02,0.11,0
MY18,,0,0.05,0
HB01,0,0,0.03,0.02
HB02,0,0.04,0.01,0
AJT01,0.05,,,
AJT02,0.3,0.1,0.07,0
AJT03,,0.05,0,
AJT04,,0.02,0.03,0
AJT05,,0.03,0.04,0
HBT01,0,0,0.05,0
HBT02,0.03,0.07,0.02,0
HBT03,0,0.02,0.01,
HBT04,,,,0
HBT05,0,0.03,0.01,0
HBT06,0,0.02,0.08,0
HBT07,0,0.03,0.01,
HBT08,0,0.04,0.06,0
