TABLE 30,,,
MYSTIC RIVER BASIN SURVEY,,,
SODIUM DATA (mg/l),,,
1 9 8 0    1 9 8 1              1 9 8 0    1 9 8 1,,,
STATION,5/13/1980,2/26/1981,7/29/1981
AJ01,24,18,
AJ02,26,30,28
AJ03,35,48,27
AJ04,45,34,39
AJ05,33,48,22
AJ06,35,75,27
AJ07,35,59,30
AJ08,35,61,18
AJ09,30,120,36
AJ10,35,,37
AJ11,35,150,44
MY10,36,55,50
MY11,36,72,44
MY12,17,76,38
MY13,28,65,45
MY14,30,,47
MY15,,67,53
MY16A,,57,
MY17A,,80,155
MY18,,170,750
HB01,110,55,45
HB02,27,58,23
AJT01,35,,
AJT02,26,81,24
AJT03,,39,
AJT04,,32,19
AJT05,,41,25
HBT01,25,15,54
HBT02,300,90,230
HBT03,27,96,
HBT04,,,18
HBT05,186,57,110
HBT06,75,51,102
HBT07,30,4,
HBT08,150,56,81
