"OriginalLocationID","LocationID","Datetime","SODIUM DATA"
"AJ01","AJ01","5/13/1980","24"
"AJ01","AJ01","2/26/1981","18"
"AJ02","ABRN01","5/13/1980","26"
"AJ02","ABRN01","2/26/1981","30"
"AJ02","ABRN01","7/29/1981","28"
"AJ03","ABR070","5/13/1980","35"
"AJ03","ABR070","2/26/1981","48"
"AJ03","ABR070","7/29/1981","27"
"AJ04","HAB001","5/13/1980","45"
"AJ04","HAB001","2/26/1981","34"
"AJ04","HAB001","7/29/1981","39"
"AJ05","ABR049","5/13/1980","33"
"AJ05","ABR049","2/26/1981","48"
"AJ05","ABR049","7/29/1981","22"
"AJ06","ABR036","5/13/1980","35"
"AJ06","ABR036","2/26/1981","75"
"AJ06","ABR036","7/29/1981","27"
"AJ07","ABR028","5/13/1980","35"
"AJ07","ABR028","2/26/1981","59"
"AJ07","ABR028","7/29/1981","30"
"AJ08","ABR017","5/13/1980","35"
"AJ08","ABR017","2/26/1981","61"
"AJ08","ABR017","7/29/1981","18"
"AJ10","ABR006","5/13/1980","35"
"AJ10","ABR006","7/29/1981","37"
"AJ11","ABR001","5/13/1980","35"
"AJ11","ABR001","2/26/1981","150"
"AJ11","ABR001","7/29/1981","44"
"MY10","UPL001","5/13/1980","36"
"MY10","UPL001","2/26/1981","55"
"MY10","UPL001","7/29/1981","50"
"MY11","MYR071","5/13/1980","36"
"MY11","MYR071","2/26/1981","72"
"MY11","MYR071","7/29/1981","44"
"MY12","MIB001","5/13/1980","17"
"MY12","MIB001","2/26/1981","76"
"MY12","MIB001","7/29/1981","38"
"MY13","MWRA070","5/13/1980","28"
"MY13","MWRA070","2/26/1981","65"
"MY13","MWRA070","7/29/1981","45"
"MY14","MWRA172","5/13/1980","30"
"MY14","MWRA172","7/29/1981","47"
"MY15","MWRA061","2/26/1981","67"
"MY15","MWRA061","7/29/1981","53"
"MY16A","MYR39","2/26/1981","57"
"MY17A","MAR036","2/26/1981","80"
"MY17A","MAR036","7/29/1981","155"
"MY18","MWRA059","2/26/1981","170"
"MY18","MWRA059","7/29/1981","750"
"HB01","HAB0015","5/13/1980","110"
"HB01","HAB0015","2/26/1981","55"
"HB01","HAB0015","7/29/1981","45"
"HB02","HAB002","5/13/1980","27"
"HB02","HAB002","2/26/1981","58"
"HB02","HAB002","7/29/1981","23"
"AJT02","SWBB","5/13/1980","26"
"AJT02","SWBB","2/26/1981","81"
"AJT02","SWBB","7/29/1981","24"
"AJT03","HOB103","2/26/1981","39"
"AJT04","SHBTRIB","2/26/1981","32"
"AJT04","SHBTRIB","7/29/1981","19"
"AJT05","CUBLEX","2/26/1981","41"
"AJT05","CUBLEX","7/29/1981","25"
"HBT01","HBT01","5/13/1980","25"
"HBT01","HBT01","2/26/1981","15"
"HBT01","HBT01","7/29/1981","54"
"HBT02","HBT02","5/13/1980","300"
"HBT02","HBT02","2/26/1981","90"
"HBT02","HBT02","7/29/1981","230"
"HBT03","HBT03","5/13/1980","27"
"HBT03","HBT03","2/26/1981","96"
"HBT05","HBT05","5/13/1980","186"
"HBT05","HBT05","2/26/1981","57"
"HBT05","HBT05","7/29/1981","110"
"HBT06","HBT06","5/13/1980","75"
"HBT06","HBT06","2/26/1981","51"
"HBT06","HBT06","7/29/1981","102"
"HBT07","HBT07","5/13/1980","30"
"HBT07","HBT07","2/26/1981","4"
"HBT08","HBT08","5/13/1980","150"
"HBT08","HBT08","2/26/1981","56"
"HBT08","HBT08","7/29/1981","81"
