TABLE 13 (CONTINUED),,,,,,,
1 9 7 9             1 9 8 0         1 9 8 1,,,,,,,
,,,,,,,
,,,,,,,
STATION,6/27/1979,8/6/1979,12/12/1979,5/13/1980,10/28/1980,2/26/1981,7/29/1981
AJT01,,120,"15,000",,,,
AJT02,"9,500,000","50,000","9,500","200,000","4,200,000","80,000","300,000"
AJT03,,,,,"40,000",500,
AJT04,,,,,900,"1,200",6300
AJT05,,,,,"4,800",3000,6800
HBT01,100,,,400,400,100,500
HBT02,"1,200",,,"6,000",700,<20,"61,000"
HBT03,,,,490,600,<20,
HBT04,,,,,,,"3,000"
HBT05,100,500,,850,"2,400",<20,"11,000"
HBT06,"1,000",500,,200,"1,100","2,300","16,000"
HBT07,100,,,160,700,"4,000",
HBT08,400,"1,100",,"1,100","2,800",80,"15,000"
